transaction_id,is_fraud,risk_score,fraud_type,detection_method,amount_blocked
TXN_00009048,True,85.4,Synthetic Identity,ML Model,100.91
TXN_00009061,True,72.3,Stolen Card,ML Model,401.59
TXN_00009097,True,86.0,Friendly Fraud,ML Model,148.86
TXN_00009261,True,90.0,Account Takeover,ML Model,42.69
TXN_00009315,True,67.8,Account Takeover,ML Model,1571.62
TXN_00009361,True,91.5,Account Takeover,ML Model,64.75
TXN_00009411,True,88.1,Card Testing,Not Detected,0.0
TXN_00009414,True,68.3,Account Takeover,ML Model,139.35
TXN_00009434,True,90.7,Account Takeover,ML Model,99.41
TXN_00009436,True,64.9,Stolen Card,ML Model,77.72
TXN_00009481,True,89.1,Stolen Card,ML Model,4225.6
TXN_00009614,True,67.2,Friendly Fraud,ML Model,182.17
TXN_00009960,True,91.7,Friendly Fraud,ML Model,52.47
TXN_00009991,True,92.6,Card Testing,Not Detected,0.0
TXN_00010076,True,77.1,Friendly Fraud,ML Model,45.79
TXN_00010128,True,63.2,Friendly Fraud,ML Model,519.42
TXN_00010152,True,79.1,Synthetic Identity,ML Model,511.66
TXN_00010266,True,62.4,Card Testing,Rule-Based,44.53
TXN_00010296,True,75.2,Account Takeover,ML Model,696.51
TXN_00010336,True,75.4,Account Takeover,Not Detected,0.0
TXN_00010613,True,71.6,Friendly Fraud,Rule-Based,89.27
TXN_00010685,True,68.6,Friendly Fraud,Not Detected,0.0
TXN_00010700,True,67.1,Synthetic Identity,ML Model,79.89
TXN_00010948,True,81.5,Account Takeover,Not Detected,0.0
TXN_00011176,True,83.6,Card Testing,ML Model,50.51
TXN_00011222,True,69.7,Account Takeover,ML Model,216.64
TXN_00011268,True,91.2,Friendly Fraud,ML Model,84.6
TXN_00011411,True,61.9,Stolen Card,Rule-Based,214.68
TXN_00011531,True,76.2,Friendly Fraud,Not Detected,0.0
TXN_00011653,True,68.3,Stolen Card,ML Model,22.94
TXN_00011807,True,66.1,Card Testing,ML Model,524.48
TXN_00011882,True,60.9,Account Takeover,Rule-Based,39.9
TXN_00011912,True,64.5,Stolen Card,ML Model,91.64
TXN_00012120,True,63.1,Friendly Fraud,Manual Review,28.87
TXN_00012272,True,83.7,Synthetic Identity,ML Model,110.28
TXN_00012338,True,77.1,Account Takeover,Not Detected,0.0
TXN_00012370,True,82.6,Synthetic Identity,ML Model,1391.06
TXN_00012384,True,90.3,Stolen Card,ML Model,525.53
TXN_00012454,True,67.8,Synthetic Identity,Rule-Based,493.83
TXN_00012607,True,84.5,Synthetic Identity,ML Model,219.63
TXN_00012679,True,79.4,Synthetic Identity,Rule-Based,79.49
TXN_00012692,True,71.1,Friendly Fraud,ML Model,22.39
TXN_00012737,True,72.9,Account Takeover,ML Model,151.17
TXN_00012901,True,77.4,Synthetic Identity,Not Detected,0.0
TXN_00012963,True,75.3,Friendly Fraud,ML Model,170.13
TXN_00012973,True,88.3,Stolen Card,ML Model,41.44
TXN_00012980,True,88.4,Synthetic Identity,Manual Review,1032.68
TXN_00013009,True,66.2,Friendly Fraud,ML Model,649.97
TXN_00013106,True,81.1,Stolen Card,ML Model,98.06
TXN_00013349,True,91.6,Card Testing,ML Model,211.23
TXN_00013407,True,92.2,Stolen Card,ML Model,81.21
TXN_00013570,True,94.5,Stolen Card,Rule-Based,127.95
TXN_00013638,True,66.2,Account Takeover,ML Model,211.69
TXN_00013752,True,68.2,Stolen Card,ML Model,271.08
TXN_00014015,True,94.5,Stolen Card,ML Model,77.43
TXN_00014046,True,60.2,Card Testing,ML Model,49.0
TXN_00014056,True,80.5,Stolen Card,ML Model,200.61
TXN_00014125,True,90.6,Stolen Card,Rule-Based,2173.54
TXN_00014127,True,62.8,Synthetic Identity,ML Model,32.36
TXN_00014139,True,89.3,Synthetic Identity,ML Model,173.51
TXN_00014213,True,76.0,Synthetic Identity,Rule-Based,485.01
TXN_00014273,True,76.5,Card Testing,Not Detected,0.0
TXN_00014298,True,83.3,Account Takeover,Rule-Based,1370.49
TXN_00014299,True,82.1,Stolen Card,ML Model,1269.12
TXN_00014458,True,60.0,Card Testing,ML Model,99.52
TXN_00014560,True,63.4,Stolen Card,Rule-Based,654.0
TXN_00014687,True,80.6,Account Takeover,ML Model,72.16
TXN_00014753,True,65.7,Synthetic Identity,Rule-Based,192.0
TXN_00014850,True,82.9,Card Testing,Rule-Based,97.39
TXN_00015272,True,61.2,Friendly Fraud,ML Model,452.34
TXN_00015316,True,76.0,Account Takeover,ML Model,156.08
TXN_00015356,True,94.9,Synthetic Identity,ML Model,592.37
TXN_00015535,True,66.9,Synthetic Identity,ML Model,48.63
TXN_00015643,True,62.4,Synthetic Identity,ML Model,195.2
TXN_00015648,True,81.5,Synthetic Identity,ML Model,384.12
TXN_00015681,True,85.4,Card Testing,ML Model,235.67
TXN_00015687,True,89.6,Card Testing,Not Detected,0.0
TXN_00015855,True,67.5,Friendly Fraud,Rule-Based,51.93
TXN_00015975,True,80.6,Synthetic Identity,Rule-Based,23.37
TXN_00016151,True,76.0,Card Testing,Rule-Based,106.8
TXN_00016157,True,87.1,Account Takeover,ML Model,117.57
TXN_00016194,True,76.3,Stolen Card,ML Model,136.32
TXN_00016239,True,66.2,Card Testing,ML Model,13.74
TXN_00016270,True,70.8,Card Testing,ML Model,232.02
TXN_00016274,True,76.4,Stolen Card,ML Model,104.93
TXN_00016733,True,88.5,Card Testing,ML Model,517.76
TXN_00017055,True,72.1,Card Testing,ML Model,77.1
TXN_00017137,True,87.1,Stolen Card,ML Model,107.52
TXN_00017159,True,63.6,Stolen Card,ML Model,90.47
TXN_00017363,True,72.8,Card Testing,ML Model,536.17
TXN_00017615,True,76.9,Card Testing,ML Model,46.34
TXN_00017689,True,73.9,Synthetic Identity,Rule-Based,567.24
TXN_00017735,True,77.3,Stolen Card,ML Model,60.38
TXN_00017857,True,81.6,Synthetic Identity,Rule-Based,334.75
TXN_00017984,True,61.3,Friendly Fraud,ML Model,834.88
TXN_00018036,True,61.2,Card Testing,Rule-Based,54.93
TXN_00018095,True,88.3,Stolen Card,ML Model,30.18
TXN_00018211,True,60.5,Stolen Card,ML Model,111.92
TXN_00018447,True,92.4,Synthetic Identity,ML Model,147.97
TXN_00018798,True,82.9,Account Takeover,ML Model,378.37
TXN_00019213,True,61.4,Friendly Fraud,ML Model,93.02
TXN_00019240,True,83.8,Account Takeover,ML Model,100.06
TXN_00019312,True,88.0,Stolen Card,ML Model,81.79
TXN_00019349,True,71.6,Synthetic Identity,ML Model,62.23
TXN_00019375,True,86.7,Synthetic Identity,ML Model,4568.63
TXN_00019656,True,63.5,Stolen Card,ML Model,60.75
TXN_00019674,True,68.4,Friendly Fraud,ML Model,3009.04
TXN_00019799,True,77.8,Card Testing,ML Model,43.0
TXN_00019870,True,63.5,Synthetic Identity,ML Model,253.99
TXN_00019917,True,69.2,Stolen Card,Rule-Based,45.4
TXN_00019934,True,64.2,Stolen Card,ML Model,109.11
TXN_00020158,True,79.4,Stolen Card,ML Model,44.39
TXN_00020161,True,88.4,Card Testing,Rule-Based,79.35
TXN_00020182,True,79.3,Friendly Fraud,Rule-Based,319.66
TXN_00020229,True,65.0,Card Testing,ML Model,129.41
TXN_00020335,True,64.1,Account Takeover,Rule-Based,174.76
TXN_00020433,True,94.0,Friendly Fraud,Rule-Based,80.3
TXN_00020631,True,60.8,Card Testing,ML Model,10.75
TXN_00020647,True,77.1,Stolen Card,ML Model,547.65
TXN_00020672,True,86.1,Stolen Card,ML Model,116.94
TXN_00020782,True,86.4,Card Testing,ML Model,180.73
TXN_00020836,True,90.5,Card Testing,ML Model,105.66
TXN_00020895,True,62.0,Card Testing,Rule-Based,838.06
TXN_00020925,True,90.3,Card Testing,ML Model,247.97
TXN_00020945,True,88.3,Stolen Card,ML Model,99.22
TXN_00021006,True,80.5,Stolen Card,ML Model,55.57
TXN_00021037,True,73.7,Account Takeover,ML Model,4426.34
TXN_00021074,True,64.0,Card Testing,ML Model,626.75
TXN_00021119,True,72.5,Stolen Card,ML Model,150.82
TXN_00021230,True,79.3,Synthetic Identity,ML Model,216.79
TXN_00021401,True,66.4,Card Testing,ML Model,125.55
TXN_00021461,True,76.4,Friendly Fraud,Manual Review,54.13
TXN_00022059,True,85.7,Friendly Fraud,Rule-Based,847.93
TXN_00022082,True,78.0,Account Takeover,ML Model,48.17
TXN_00022254,True,64.2,Card Testing,ML Model,184.03
TXN_00022291,True,83.0,Friendly Fraud,Not Detected,0.0
TXN_00022388,True,79.0,Card Testing,Manual Review,59.48
TXN_00022574,True,69.6,Friendly Fraud,ML Model,28.55
TXN_00022703,True,68.0,Friendly Fraud,Rule-Based,113.24
TXN_00022768,True,91.8,Stolen Card,Rule-Based,240.9
TXN_00022946,True,73.8,Friendly Fraud,Rule-Based,79.42
TXN_00022961,True,77.9,Stolen Card,ML Model,965.45
TXN_00023150,True,83.8,Friendly Fraud,ML Model,88.43
TXN_00023180,True,67.9,Friendly Fraud,Rule-Based,48.18
TXN_00023199,True,90.8,Stolen Card,Rule-Based,64.32
TXN_00023226,True,71.9,Synthetic Identity,ML Model,191.8
TXN_00023257,True,64.0,Synthetic Identity,ML Model,122.95
TXN_00023374,True,94.1,Stolen Card,Rule-Based,33.53
TXN_00023597,True,83.2,Synthetic Identity,ML Model,45.37
TXN_00023632,True,91.6,Synthetic Identity,Manual Review,256.31
TXN_00023755,True,84.9,Friendly Fraud,ML Model,751.13
TXN_00023787,True,61.7,Synthetic Identity,ML Model,120.53
TXN_00023800,True,93.2,Card Testing,ML Model,49.34
TXN_00023864,True,87.8,Synthetic Identity,ML Model,246.71
TXN_00023959,True,76.3,Account Takeover,ML Model,138.26
TXN_00024040,True,75.4,Card Testing,ML Model,270.6
TXN_00024047,True,78.3,Stolen Card,Rule-Based,660.36
TXN_00024051,True,85.3,Synthetic Identity,ML Model,248.24
TXN_00024072,True,85.0,Stolen Card,ML Model,46.3
TXN_00024262,True,89.5,Stolen Card,ML Model,41.19
TXN_00024315,True,88.9,Stolen Card,ML Model,394.5
TXN_00024406,True,88.8,Card Testing,ML Model,328.13
TXN_00024455,True,86.9,Friendly Fraud,Rule-Based,30.39
TXN_00024517,True,88.8,Stolen Card,Rule-Based,167.71
TXN_00024715,True,94.1,Stolen Card,Rule-Based,85.16
TXN_00024728,True,79.4,Friendly Fraud,Rule-Based,275.63
TXN_00024745,True,84.7,Stolen Card,ML Model,31.51
TXN_00024976,True,92.0,Synthetic Identity,ML Model,19.61
TXN_00025027,True,77.5,Friendly Fraud,Rule-Based,82.16
TXN_00025078,True,76.1,Card Testing,ML Model,45.91
TXN_00025124,True,68.2,Synthetic Identity,ML Model,196.49
TXN_00025294,True,78.7,Account Takeover,ML Model,69.02
TXN_00025300,True,73.1,Account Takeover,ML Model,241.52
TXN_00025459,True,92.9,Stolen Card,ML Model,369.58
TXN_00025517,True,91.3,Account Takeover,ML Model,530.34
TXN_00025620,True,88.4,Card Testing,ML Model,24.58
TXN_00025646,True,65.6,Card Testing,ML Model,355.83
TXN_00025751,True,64.6,Card Testing,ML Model,921.45
TXN_00025809,True,85.8,Friendly Fraud,ML Model,465.81
TXN_00025972,True,89.0,Stolen Card,ML Model,37.19
TXN_00026158,True,64.0,Stolen Card,ML Model,141.93
TXN_00026339,True,84.5,Account Takeover,ML Model,49.66
TXN_00026510,True,72.0,Card Testing,ML Model,368.82
TXN_00026589,True,69.0,Friendly Fraud,Rule-Based,270.13
TXN_00026642,True,93.2,Account Takeover,Rule-Based,25.12
TXN_00026712,True,84.1,Friendly Fraud,ML Model,1275.37
TXN_00026899,True,64.2,Account Takeover,ML Model,118.75
TXN_00026929,True,80.3,Stolen Card,ML Model,1767.44
TXN_00026939,True,82.0,Account Takeover,ML Model,130.68
TXN_00026953,True,71.1,Card Testing,Rule-Based,200.51
TXN_00027013,True,81.3,Card Testing,ML Model,100.87
TXN_00027083,True,84.4,Synthetic Identity,ML Model,190.72
TXN_00027170,True,72.2,Account Takeover,Not Detected,0.0
TXN_00027177,True,77.9,Friendly Fraud,ML Model,18.6
TXN_00027450,True,94.4,Stolen Card,ML Model,35.72
TXN_00027466,True,70.9,Stolen Card,ML Model,4776.08
TXN_00027564,True,63.4,Synthetic Identity,ML Model,87.91
TXN_00027601,True,89.3,Stolen Card,Rule-Based,310.28
TXN_00027664,True,69.2,Synthetic Identity,ML Model,711.23
TXN_00027686,True,66.1,Account Takeover,ML Model,1070.76
TXN_00027782,True,74.5,Friendly Fraud,ML Model,150.56
TXN_00027904,True,83.7,Account Takeover,ML Model,72.25
TXN_00027933,True,66.6,Stolen Card,ML Model,291.03
TXN_00027967,True,65.4,Card Testing,Rule-Based,123.17
TXN_00028016,True,79.3,Card Testing,ML Model,28.44
TXN_00028033,True,72.7,Stolen Card,ML Model,390.51
TXN_00028231,True,67.6,Friendly Fraud,Not Detected,0.0
TXN_00028269,True,83.6,Synthetic Identity,ML Model,352.22
TXN_00028429,True,90.6,Synthetic Identity,Rule-Based,30.43
TXN_00028767,True,64.8,Friendly Fraud,ML Model,283.21
TXN_00028989,True,81.4,Friendly Fraud,Rule-Based,344.08
TXN_00029118,True,70.2,Account Takeover,ML Model,307.95
TXN_00029236,True,81.9,Stolen Card,ML Model,76.34
TXN_00029295,True,84.7,Card Testing,ML Model,518.28
TXN_00029403,True,83.3,Friendly Fraud,ML Model,105.17
TXN_00029441,True,63.6,Account Takeover,Rule-Based,134.87
TXN_00029676,True,67.2,Synthetic Identity,ML Model,145.73
TXN_00029691,True,93.8,Stolen Card,Not Detected,0.0
TXN_00029867,True,77.1,Account Takeover,ML Model,32.12
TXN_00029902,True,81.8,Friendly Fraud,ML Model,241.84
TXN_00029925,True,65.8,Friendly Fraud,ML Model,256.46
TXN_00029936,True,72.3,Account Takeover,Rule-Based,132.89
TXN_00030029,True,79.8,Synthetic Identity,ML Model,62.54
TXN_00030106,True,69.0,Synthetic Identity,ML Model,21.18
TXN_00030151,True,90.5,Synthetic Identity,ML Model,88.35
TXN_00030261,True,87.1,Card Testing,ML Model,461.54
TXN_00030398,True,62.2,Friendly Fraud,ML Model,1014.59
TXN_00030681,True,76.1,Stolen Card,ML Model,273.22
TXN_00030774,True,82.6,Synthetic Identity,ML Model,79.51
TXN_00030778,True,87.3,Account Takeover,ML Model,227.27
TXN_00030869,True,65.5,Card Testing,ML Model,256.29
TXN_00030938,True,85.1,Synthetic Identity,ML Model,107.24
TXN_00030968,True,94.1,Stolen Card,ML Model,157.0
TXN_00031103,True,77.9,Friendly Fraud,ML Model,306.69
TXN_00031128,True,88.1,Friendly Fraud,ML Model,249.32
TXN_00031156,True,81.4,Synthetic Identity,ML Model,39.57
TXN_00031167,True,66.3,Friendly Fraud,ML Model,1017.57
TXN_00031215,True,93.5,Friendly Fraud,ML Model,770.25
TXN_00031230,True,94.0,Synthetic Identity,Not Detected,0.0
TXN_00031244,True,91.1,Card Testing,ML Model,91.69
TXN_00031333,True,60.2,Account Takeover,ML Model,421.07
TXN_00031476,True,85.7,Account Takeover,ML Model,46.55
TXN_00031569,True,61.7,Friendly Fraud,Rule-Based,86.86
TXN_00031663,True,77.4,Account Takeover,ML Model,78.04
TXN_00032140,True,89.4,Card Testing,ML Model,94.49
TXN_00032406,True,62.0,Stolen Card,Rule-Based,1520.75
TXN_00032416,True,66.0,Stolen Card,ML Model,244.35
TXN_00032440,True,89.0,Stolen Card,ML Model,603.18
TXN_00032791,True,94.4,Synthetic Identity,ML Model,427.44
TXN_00032829,True,78.1,Account Takeover,Not Detected,0.0
TXN_00033036,True,73.0,Synthetic Identity,ML Model,151.54
TXN_00033240,True,67.5,Stolen Card,ML Model,156.91
TXN_00033339,True,88.6,Synthetic Identity,ML Model,1410.8
TXN_00033388,True,92.6,Card Testing,Rule-Based,72.68
TXN_00033508,True,80.4,Friendly Fraud,ML Model,147.22
TXN_00033567,True,83.1,Card Testing,ML Model,27.58
TXN_00033636,True,66.1,Account Takeover,ML Model,256.34
TXN_00033684,True,65.2,Friendly Fraud,Manual Review,52.13
TXN_00033819,True,79.9,Synthetic Identity,ML Model,39.71
TXN_00033860,True,73.4,Account Takeover,Rule-Based,112.79
TXN_00033891,True,85.6,Friendly Fraud,ML Model,379.56
TXN_00034169,True,70.7,Synthetic Identity,ML Model,172.1
TXN_00034364,True,72.5,Stolen Card,ML Model,5.97
TXN_00034519,True,62.1,Card Testing,Rule-Based,903.27
TXN_00034637,True,64.6,Synthetic Identity,ML Model,467.79
TXN_00034681,True,86.3,Card Testing,ML Model,247.54
TXN_00034842,True,67.1,Friendly Fraud,ML Model,84.21
TXN_00034847,True,91.3,Stolen Card,Not Detected,0.0
TXN_00035159,True,74.4,Friendly Fraud,ML Model,66.4
TXN_00035375,True,89.3,Account Takeover,ML Model,185.61
TXN_00035616,True,93.3,Account Takeover,ML Model,32.53
TXN_00035889,True,92.8,Card Testing,Not Detected,0.0
TXN_00036022,True,62.4,Stolen Card,ML Model,224.57
TXN_00036350,True,73.2,Stolen Card,ML Model,50.74
TXN_00036362,True,64.7,Card Testing,ML Model,33.89
TXN_00036511,True,74.4,Synthetic Identity,Rule-Based,125.04
TXN_00036752,True,64.2,Card Testing,ML Model,336.65
TXN_00036889,True,63.6,Synthetic Identity,ML Model,92.71
TXN_00037013,True,91.9,Card Testing,ML Model,228.76
TXN_00037200,True,66.8,Account Takeover,ML Model,198.2
TXN_00037270,True,67.4,Friendly Fraud,ML Model,113.94
TXN_00037338,True,79.0,Synthetic Identity,ML Model,48.69
TXN_00037351,True,84.4,Card Testing,ML Model,244.62
TXN_00037601,True,69.8,Synthetic Identity,Rule-Based,31.09
TXN_00037727,True,92.0,Account Takeover,Rule-Based,24.56
TXN_00037814,True,86.0,Stolen Card,Manual Review,312.38
TXN_00037999,True,87.8,Stolen Card,Not Detected,0.0
TXN_00038104,True,72.2,Account Takeover,ML Model,223.45
TXN_00038154,True,87.2,Friendly Fraud,ML Model,210.22
TXN_00038183,True,93.7,Friendly Fraud,ML Model,601.89
TXN_00038206,True,72.4,Synthetic Identity,ML Model,98.81
TXN_00038237,True,78.8,Account Takeover,ML Model,255.94
TXN_00038282,True,87.9,Stolen Card,Rule-Based,977.05
TXN_00038369,True,80.8,Stolen Card,Not Detected,0.0
TXN_00038480,True,63.9,Card Testing,Manual Review,38.98
TXN_00038575,True,70.3,Stolen Card,ML Model,653.07
TXN_00038622,True,67.4,Stolen Card,ML Model,100.43
TXN_00038640,True,76.3,Card Testing,ML Model,132.7
TXN_00038726,True,88.9,Stolen Card,ML Model,26.52
TXN_00038733,True,89.3,Synthetic Identity,Rule-Based,56.37
TXN_00038763,True,84.1,Synthetic Identity,Rule-Based,143.45
TXN_00038785,True,88.6,Card Testing,Not Detected,0.0
TXN_00038808,True,77.2,Stolen Card,ML Model,172.11
TXN_00038961,True,89.6,Synthetic Identity,ML Model,55.63
TXN_00038967,True,86.5,Account Takeover,ML Model,95.09
TXN_00039061,True,79.4,Card Testing,Manual Review,94.63
TXN_00039129,True,63.6,Synthetic Identity,ML Model,106.5
TXN_00039185,True,64.7,Card Testing,ML Model,49.83
TXN_00039206,True,76.0,Synthetic Identity,ML Model,106.85
TXN_00039351,True,90.2,Friendly Fraud,ML Model,88.77
TXN_00039662,True,70.1,Stolen Card,ML Model,52.87
TXN_00039833,True,78.1,Friendly Fraud,ML Model,487.54
TXN_00040049,True,88.8,Friendly Fraud,Not Detected,0.0
TXN_00040074,True,86.0,Friendly Fraud,Rule-Based,88.52
TXN_00040190,True,68.3,Stolen Card,ML Model,1325.28
TXN_00040291,True,69.0,Friendly Fraud,Rule-Based,390.06
TXN_00040472,True,70.4,Card Testing,ML Model,724.22
TXN_00040569,True,82.2,Stolen Card,Rule-Based,4345.82
TXN_00040647,True,79.9,Friendly Fraud,Rule-Based,622.94
TXN_00040663,True,78.7,Synthetic Identity,ML Model,129.56
TXN_00040710,True,75.2,Stolen Card,ML Model,45.74
TXN_00040727,True,73.9,Stolen Card,ML Model,1833.81
TXN_00040740,True,93.5,Friendly Fraud,ML Model,158.13
TXN_00040827,True,66.2,Card Testing,ML Model,94.7
TXN_00040849,True,69.4,Card Testing,Not Detected,0.0
TXN_00040864,True,89.9,Synthetic Identity,Rule-Based,165.99
TXN_00040956,True,93.2,Stolen Card,Rule-Based,201.77
TXN_00040980,True,80.2,Card Testing,Rule-Based,211.19
TXN_00040986,True,64.0,Account Takeover,ML Model,49.22
TXN_00041066,True,68.5,Synthetic Identity,Rule-Based,90.48
TXN_00041136,True,64.6,Synthetic Identity,ML Model,328.48
TXN_00041175,True,84.4,Account Takeover,ML Model,408.76
TXN_00041186,True,72.2,Stolen Card,ML Model,142.42
TXN_00041200,True,72.3,Card Testing,ML Model,177.34
TXN_00041217,True,87.8,Stolen Card,ML Model,577.36
TXN_00041350,True,78.5,Synthetic Identity,ML Model,154.28
TXN_00041352,True,86.9,Stolen Card,ML Model,127.53
TXN_00041510,True,90.0,Card Testing,ML Model,88.57
TXN_00041587,True,78.1,Synthetic Identity,ML Model,484.0
TXN_00041663,True,92.7,Stolen Card,Rule-Based,91.42
TXN_00041684,True,74.3,Stolen Card,ML Model,971.46
TXN_00041717,True,85.5,Stolen Card,ML Model,3765.25
TXN_00041723,True,93.0,Account Takeover,ML Model,364.73
TXN_00041809,True,86.6,Card Testing,ML Model,365.33
TXN_00041850,True,88.9,Card Testing,Manual Review,1005.33
TXN_00041871,True,65.5,Card Testing,ML Model,1573.25
TXN_00041909,True,74.8,Account Takeover,ML Model,441.62
TXN_00041960,True,87.8,Synthetic Identity,ML Model,32.62
TXN_00042008,True,85.1,Stolen Card,ML Model,57.2
TXN_00042069,True,63.3,Card Testing,Not Detected,0.0
TXN_00042096,True,67.9,Synthetic Identity,ML Model,129.37
TXN_00042133,True,85.9,Friendly Fraud,ML Model,67.85
TXN_00042194,True,81.6,Synthetic Identity,Rule-Based,208.08
TXN_00042271,True,91.5,Account Takeover,ML Model,32.59
TXN_00042346,True,83.2,Friendly Fraud,ML Model,433.21
TXN_00042358,True,92.9,Synthetic Identity,ML Model,126.94
TXN_00042532,True,62.8,Stolen Card,Manual Review,265.75
TXN_00042536,True,63.4,Account Takeover,ML Model,137.25
TXN_00042555,True,80.6,Friendly Fraud,ML Model,1972.75
TXN_00042664,True,90.2,Synthetic Identity,ML Model,119.52
TXN_00042758,True,65.1,Card Testing,ML Model,404.18
