merchant_id,merchant_name,category,country,signup_date,transaction_volume_tier
MERCH_00218,Merchant_218,Travel,USA,2024-02-18,Small
MERCH_00219,Merchant_219,Retail,Brazil,2024-07-03,Medium
MERCH_00220,Merchant_220,Food & Dining,Australia,2024-02-15,Small
MERCH_00221,Merchant_221,Utilities,UK,2024-05-17,Small
MERCH_00222,Merchant_222,Transportation,USA,2024-04-26,Medium
MERCH_00223,Merchant_223,Healthcare,Singapore,2024-06-28,Small
MERCH_00224,Merchant_224,Retail,Singapore,2024-02-18,Small
MERCH_00225,Merchant_225,Utilities,USA,2024-08-31,Large
MERCH_00226,Merchant_226,Entertainment,Brazil,2024-03-07,Medium
MERCH_00227,Merchant_227,Transportation,France,2024-04-11,Large
MERCH_00228,Merchant_228,Entertainment,France,2024-07-14,Small
MERCH_00229,Merchant_229,Healthcare,UK,2024-09-16,Small
MERCH_00230,Merchant_230,Retail,UK,2024-07-06,Enterprise
MERCH_00231,Merchant_231,Healthcare,USA,2024-01-23,Small
MERCH_00232,Merchant_232,E-commerce,UK,2024-05-14,Small
MERCH_00233,Merchant_233,Entertainment,Canada,2024-06-08,Large
MERCH_00234,Merchant_234,Utilities,USA,2024-10-01,Small
MERCH_00235,Merchant_235,Healthcare,Germany,2024-07-05,Medium
MERCH_00236,Merchant_236,E-commerce,USA,2024-03-27,Medium
MERCH_00237,Merchant_237,Transportation,USA,2024-07-17,Small
MERCH_00238,Merchant_238,Digital Services,Canada,2024-01-27,Large
MERCH_00239,Merchant_239,Entertainment,USA,2024-03-13,Small
MERCH_00240,Merchant_240,Travel,Germany,2024-05-05,Small
MERCH_00241,Merchant_241,E-commerce,Canada,2024-06-19,Small
MERCH_00242,Merchant_242,Education,Brazil,2024-05-27,Small
MERCH_00243,Merchant_243,Healthcare,Singapore,2024-08-28,Medium
MERCH_00244,Merchant_244,Entertainment,USA,2024-03-19,Medium
MERCH_00245,Merchant_245,Food & Dining,UK,2024-03-27,Small
MERCH_00246,Merchant_246,Retail,Singapore,2024-05-11,Small
MERCH_00247,Merchant_247,Digital Services,USA,2024-01-19,Medium
MERCH_00248,Merchant_248,Food & Dining,France,2024-06-12,Large
MERCH_00249,Merchant_249,Retail,Australia,2024-07-03,Medium
MERCH_00250,Merchant_250,Education,Canada,2024-05-01,Medium
MERCH_00251,Merchant_251,Retail,Canada,2024-01-24,Medium
MERCH_00252,Merchant_252,Utilities,USA,2024-07-26,Medium
MERCH_00253,Merchant_253,Transportation,Australia,2024-02-09,Medium
MERCH_00254,Merchant_254,Retail,Singapore,2024-02-29,Small
MERCH_00255,Merchant_255,Entertainment,Australia,2024-04-25,Large
MERCH_00256,Merchant_256,Food & Dining,UK,2024-01-09,Small
MERCH_00257,Merchant_257,E-commerce,UK,2024-01-03,Large
MERCH_00258,Merchant_258,Digital Services,USA,2024-05-16,Large
MERCH_00259,Merchant_259,Digital Services,Canada,2024-07-06,Enterprise
MERCH_00260,Merchant_260,Digital Services,Germany,2024-09-28,Large
MERCH_00261,Merchant_261,Transportation,USA,2024-03-10,Small
MERCH_00262,Merchant_262,Entertainment,Canada,2024-08-30,Small
MERCH_00263,Merchant_263,Utilities,UK,2024-07-05,Large
MERCH_00264,Merchant_264,Travel,India,2024-03-25,Large
MERCH_00265,Merchant_265,Entertainment,France,2024-04-10,Small
MERCH_00266,Merchant_266,Utilities,Canada,2024-05-17,Small
MERCH_00267,Merchant_267,Food & Dining,Canada,2024-01-27,Small
MERCH_00268,Merchant_268,Retail,Australia,2024-09-16,Small
MERCH_00269,Merchant_269,Education,Brazil,2024-09-08,Medium
MERCH_00270,Merchant_270,Retail,UK,2024-01-19,Small
MERCH_00271,Merchant_271,Travel,USA,2024-07-10,Small
MERCH_00272,Merchant_272,Digital Services,UK,2024-08-02,Large
MERCH_00273,Merchant_273,Utilities,Germany,2024-10-14,Medium
MERCH_00274,Merchant_274,Retail,Australia,2024-04-25,Small
MERCH_00275,Merchant_275,Digital Services,UK,2024-04-22,Small
MERCH_00276,Merchant_276,Food & Dining,USA,2024-06-20,Medium
MERCH_00277,Merchant_277,Entertainment,France,2024-07-06,Small
MERCH_00278,Merchant_278,E-commerce,USA,2024-07-02,Medium
MERCH_00279,Merchant_279,Transportation,France,2024-07-24,Medium
MERCH_00280,Merchant_280,Utilities,Canada,2024-05-02,Small
MERCH_00281,Merchant_281,Digital Services,Canada,2024-09-17,Small
MERCH_00282,Merchant_282,Entertainment,Canada,2024-07-08,Medium
MERCH_00283,Merchant_283,Retail,Germany,2024-10-11,Small
MERCH_00284,Merchant_284,Retail,France,2024-02-02,Large
MERCH_00285,Merchant_285,E-commerce,Germany,2024-09-26,Small
MERCH_00286,Merchant_286,E-commerce,USA,2024-03-19,Enterprise
MERCH_00287,Merchant_287,Healthcare,Germany,2024-10-11,Small
MERCH_00288,Merchant_288,Education,India,2024-05-13,Medium
MERCH_00289,Merchant_289,Travel,Germany,2024-04-17,Small
MERCH_00290,Merchant_290,Utilities,Australia,2024-10-15,Small
MERCH_00291,Merchant_291,Transportation,UK,2024-08-12,Small
MERCH_00292,Merchant_292,Travel,Singapore,2024-06-01,Large
MERCH_00293,Merchant_293,Retail,France,2024-09-28,Large
MERCH_00294,Merchant_294,Travel,USA,2024-07-18,Large
MERCH_00295,Merchant_295,Education,USA,2024-10-23,Small
MERCH_00296,Merchant_296,Retail,USA,2024-10-13,Small
MERCH_00297,Merchant_297,Retail,UK,2024-01-22,Small
MERCH_00298,Merchant_298,Entertainment,USA,2024-01-23,Small
MERCH_00299,Merchant_299,Entertainment,France,2024-06-25,Small
MERCH_00300,Merchant_300,Retail,USA,2024-07-03,Small
MERCH_00301,Merchant_301,Entertainment,USA,2024-09-07,Small
MERCH_00302,Merchant_302,Healthcare,USA,2024-04-16,Large
MERCH_00303,Merchant_303,Entertainment,USA,2024-04-13,Small
MERCH_00304,Merchant_304,Food & Dining,USA,2024-09-25,Medium
MERCH_00305,Merchant_305,Food & Dining,Germany,2024-01-02,Small
MERCH_00306,Merchant_306,E-commerce,UK,2024-08-23,Small
MERCH_00307,Merchant_307,Transportation,UK,2024-03-05,Medium
MERCH_00308,Merchant_308,Retail,UK,2024-07-26,Medium
MERCH_00309,Merchant_309,Education,India,2024-07-17,Small
MERCH_00310,Merchant_310,E-commerce,USA,2024-01-01,Large
MERCH_00311,Merchant_311,Healthcare,Brazil,2024-10-22,Small
MERCH_00312,Merchant_312,Digital Services,Brazil,2024-05-27,Large
MERCH_00313,Merchant_313,Digital Services,France,2024-01-06,Small
MERCH_00314,Merchant_314,Food & Dining,Singapore,2024-06-04,Small
MERCH_00315,Merchant_315,Utilities,USA,2024-05-08,Medium
MERCH_00316,Merchant_316,Food & Dining,UK,2024-08-21,Medium
MERCH_00317,Merchant_317,Healthcare,USA,2024-07-08,Medium
MERCH_00318,Merchant_318,E-commerce,USA,2024-01-14,Large
MERCH_00319,Merchant_319,Healthcare,UAE,2024-02-22,Small
MERCH_00320,Merchant_320,Entertainment,USA,2024-08-20,Small
MERCH_00321,Merchant_321,Transportation,USA,2024-06-10,Small
MERCH_00322,Merchant_322,Retail,USA,2024-01-08,Small
MERCH_00323,Merchant_323,Digital Services,Germany,2024-06-19,Small
MERCH_00324,Merchant_324,Healthcare,Canada,2024-07-30,Small
MERCH_00325,Merchant_325,Travel,USA,2024-07-19,Medium
MERCH_00326,Merchant_326,Healthcare,Canada,2024-06-26,Large
MERCH_00327,Merchant_327,Entertainment,USA,2024-06-14,Small
MERCH_00328,Merchant_328,E-commerce,France,2024-09-21,Small
MERCH_00329,Merchant_329,Entertainment,USA,2024-01-20,Small
MERCH_00330,Merchant_330,Digital Services,USA,2024-07-22,Small
MERCH_00331,Merchant_331,E-commerce,Canada,2024-06-14,Small
MERCH_00332,Merchant_332,Utilities,UK,2024-09-30,Small
MERCH_00333,Merchant_333,Healthcare,UK,2024-07-22,Small
MERCH_00334,Merchant_334,Education,UAE,2024-09-11,Small
MERCH_00335,Merchant_335,Food & Dining,Australia,2024-03-09,Small
MERCH_00336,Merchant_336,Travel,Canada,2024-03-24,Small
MERCH_00337,Merchant_337,E-commerce,UK,2024-04-13,Medium
MERCH_00338,Merchant_338,Entertainment,USA,2024-03-27,Small
MERCH_00339,Merchant_339,Entertainment,Australia,2024-05-28,Small
MERCH_00340,Merchant_340,Retail,USA,2024-04-03,Small
MERCH_00341,Merchant_341,Digital Services,France,2024-01-22,Small
MERCH_00342,Merchant_342,Entertainment,India,2024-05-09,Medium
MERCH_00343,Merchant_343,Retail,USA,2024-05-02,Enterprise
MERCH_00344,Merchant_344,Entertainment,USA,2024-01-10,Medium
MERCH_00345,Merchant_345,Food & Dining,India,2024-02-01,Small
MERCH_00346,Merchant_346,Digital Services,Germany,2024-07-23,Small
MERCH_00347,Merchant_347,Retail,UK,2024-05-02,Medium
MERCH_00348,Merchant_348,Digital Services,USA,2024-02-02,Small
MERCH_00349,Merchant_349,Healthcare,USA,2024-10-20,Medium
MERCH_00350,Merchant_350,Utilities,UK,2024-02-23,Small
MERCH_00351,Merchant_351,Food & Dining,USA,2024-01-20,Large
MERCH_00352,Merchant_352,E-commerce,Canada,2024-08-07,Small
MERCH_00353,Merchant_353,Utilities,Australia,2024-10-15,Small
MERCH_00354,Merchant_354,Food & Dining,France,2024-08-28,Small
MERCH_00355,Merchant_355,Retail,Brazil,2024-02-21,Large
MERCH_00356,Merchant_356,Retail,USA,2024-05-06,Medium
MERCH_00357,Merchant_357,Utilities,France,2024-07-14,Medium
MERCH_00358,Merchant_358,Utilities,Australia,2024-05-03,Small
MERCH_00359,Merchant_359,E-commerce,Canada,2024-06-23,Small
MERCH_00360,Merchant_360,Food & Dining,USA,2024-02-10,Small
MERCH_00361,Merchant_361,Food & Dining,Germany,2024-02-16,Large
MERCH_00362,Merchant_362,Healthcare,Germany,2024-06-03,Small
MERCH_00363,Merchant_363,Transportation,Canada,2024-03-16,Medium
MERCH_00364,Merchant_364,Healthcare,USA,2024-01-26,Medium
MERCH_00365,Merchant_365,Food & Dining,Australia,2024-03-19,Medium
MERCH_00366,Merchant_366,Entertainment,Canada,2024-10-07,Medium
MERCH_00367,Merchant_367,Retail,UK,2024-07-22,Small
MERCH_00368,Merchant_368,Transportation,Germany,2024-02-25,Large
MERCH_00369,Merchant_369,Retail,Brazil,2024-03-09,Enterprise
MERCH_00370,Merchant_370,Food & Dining,India,2024-03-14,Small
MERCH_00371,Merchant_371,Digital Services,USA,2024-04-20,Large
MERCH_00372,Merchant_372,Education,UK,2024-03-21,Medium
MERCH_00373,Merchant_373,E-commerce,USA,2024-10-10,Large
MERCH_00374,Merchant_374,Food & Dining,UK,2024-07-29,Large
MERCH_00375,Merchant_375,Transportation,USA,2024-03-02,Large
MERCH_00376,Merchant_376,Retail,Canada,2024-05-18,Large
MERCH_00377,Merchant_377,Food & Dining,UK,2024-01-02,Small
MERCH_00378,Merchant_378,Digital Services,Canada,2024-03-08,Small
MERCH_00379,Merchant_379,Utilities,India,2024-05-27,Medium
MERCH_00380,Merchant_380,Entertainment,Australia,2024-06-17,Large
MERCH_00381,Merchant_381,Digital Services,UK,2024-06-01,Medium
MERCH_00382,Merchant_382,Retail,USA,2024-03-10,Medium
MERCH_00383,Merchant_383,Education,Canada,2024-03-15,Small
MERCH_00384,Merchant_384,Travel,UK,2024-05-13,Small
MERCH_00385,Merchant_385,Education,Brazil,2024-03-20,Small
MERCH_00386,Merchant_386,Travel,UAE,2024-03-28,Small
MERCH_00387,Merchant_387,Utilities,Brazil,2024-05-27,Small
MERCH_00388,Merchant_388,Utilities,USA,2024-05-02,Small
MERCH_00389,Merchant_389,Education,Australia,2024-01-12,Large
MERCH_00390,Merchant_390,Healthcare,USA,2024-03-17,Medium
MERCH_00391,Merchant_391,Retail,Australia,2024-04-28,Small
MERCH_00392,Merchant_392,Travel,Canada,2024-03-08,Medium
MERCH_00393,Merchant_393,Transportation,USA,2024-01-29,Large
MERCH_00394,Merchant_394,Healthcare,Australia,2024-01-08,Medium
MERCH_00395,Merchant_395,Food & Dining,Canada,2024-01-14,Large
MERCH_00396,Merchant_396,Digital Services,UK,2024-02-19,Enterprise
MERCH_00397,Merchant_397,Entertainment,USA,2024-04-07,Large
MERCH_00398,Merchant_398,Food & Dining,USA,2024-03-07,Medium
MERCH_00399,Merchant_399,Retail,Germany,2024-08-17,Large
MERCH_00400,Merchant_400,E-commerce,Australia,2024-09-26,Small
MERCH_00401,Merchant_401,Digital Services,UK,2024-03-28,Small
MERCH_00402,Merchant_402,Travel,USA,2024-10-05,Small
MERCH_00403,Merchant_403,Digital Services,Brazil,2024-03-23,Enterprise
MERCH_00404,Merchant_404,Food & Dining,Canada,2024-05-15,Medium
MERCH_00405,Merchant_405,E-commerce,USA,2024-04-30,Large
MERCH_00406,Merchant_406,Healthcare,USA,2024-06-19,Medium
MERCH_00407,Merchant_407,Utilities,UK,2024-02-01,Medium
MERCH_00408,Merchant_408,Education,India,2024-09-07,Medium
MERCH_00409,Merchant_409,Digital Services,Germany,2024-10-17,Medium
