account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,subscription_count,latest_mrr,latest_arr,had_upgrade,had_downgrade,billing_frequency,auto_renew,distinct_features_used,total_usage_count,avg_usage_duration_secs,total_errors,beta_feature_events,total_tickets,avg_satisfaction,avg_resolution_hours,avg_first_response_min,critical_tickets,escalations,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,tenure_months,has_satisfaction_data,churn_label,churn_numeric,mrr_per_seat,critical_ticket_ratio,error_rate,beta_adoption_ratio,tickets_per_month,features_per_month,is_enterprise,is_us,has_support_interaction,engagement_score
A-443b7c,Company_280,Cybersecurity,US,2024-09-06 00:00:00,other,Enterprise,1,False,True,16,13930,167160,1,0,monthly,1,28,4944,3095.86,232,64,8,2.75,29.25,49.0,378,0,,,0.0,,,,,18,1,Churned,1,13930.0,47.25,0.0469,0.0129,0.4444,1.5556,1,1,1,0.6632
A-d5a319,Company_158,FinTech,US,2023-05-04 00:00:00,other,Enterprise,15,False,True,12,13930,167160,1,1,monthly,1,32,604,3604.32,43,5,1,4.0,17.0,132.0,0,59,,,0.0,,,,,34,1,Churned,1,928.67,0.0,0.0712,0.0083,0.0294,0.9412,1,1,1,0.5299
A-2d1036,Company_399,FinTech,US,2024-06-14 00:00:00,ads,Pro,69,False,True,13,13731,164772,0,1,monthly,1,31,3460,2628.04,200,50,5,4.6,37.8,49.0,138,69,2024-10-28,pricing,39.09,True,False,True,switched to competitor,4,1,Churned,1,199.0,27.6,0.0578,0.0145,1.25,7.75,0,1,1,0.5547
A-2d1036,Company_399,FinTech,US,2024-06-14 00:00:00,ads,Pro,69,False,True,13,13731,164772,0,1,monthly,1,31,3460,2628.04,200,50,5,4.6,37.8,49.0,138,69,2024-10-19,budget,0.0,True,False,False,missing features,4,1,Churned,1,199.0,27.6,0.0578,0.0145,1.25,7.75,0,1,1,0.5547
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10 00:00:00,event,Enterprise,12,False,True,10,13333,159996,1,0,monthly,1,27,1888,3029.77,116,20,4,2.75,32.5,75.25,192,0,2024-12-27,budget,0.0,False,False,False,missing features,3,1,Churned,1,1111.08,48.0,0.0614,0.0106,1.3333,9.0,1,0,1,0.4751
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10 00:00:00,event,Enterprise,12,False,True,10,13333,159996,1,0,monthly,1,27,1888,3029.77,116,20,4,2.75,32.5,75.25,192,0,2024-12-08,features,0.0,True,False,False,,2,1,Churned,1,1111.08,48.0,0.0614,0.0106,2.0,13.5,1,0,1,0.4751
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10 00:00:00,event,Enterprise,12,False,True,10,13333,159996,1,0,monthly,1,27,1888,3029.77,116,20,4,2.75,32.5,75.25,192,0,2024-09-18,unknown,0.0,False,False,False,switched to competitor,0,1,Churned,1,1111.08,48.0,0.0614,0.0106,4.0,27.0,1,0,1,0.4751
A-180abf,Company_122,DevTools,US,2023-08-14 00:00:00,event,Pro,64,False,True,9,12736,152832,1,0,monthly,1,29,1497,2838.54,84,15,3,1.0,36.33,62.33,0,0,2024-05-04,competitor,0.0,False,False,False,,8,1,Churned,1,199.0,0.0,0.0561,0.01,0.375,3.625,0,1,1,0.451
A-180abf,Company_122,DevTools,US,2023-08-14 00:00:00,event,Pro,64,False,True,9,12736,152832,1,0,monthly,1,29,1497,2838.54,84,15,3,1.0,36.33,62.33,0,0,2024-05-08,support,0.0,False,False,False,switched to competitor,8,1,Churned,1,199.0,0.0,0.0561,0.01,0.375,3.625,0,1,1,0.451
A-180abf,Company_122,DevTools,US,2023-08-14 00:00:00,event,Pro,64,False,True,9,12736,152832,1,0,monthly,1,29,1497,2838.54,84,15,3,1.0,36.33,62.33,0,0,2024-09-12,support,0.0,False,False,False,,12,1,Churned,1,199.0,0.0,0.0561,0.01,0.25,2.4167,0,1,1,0.451
A-180abf,Company_122,DevTools,US,2023-08-14 00:00:00,event,Pro,64,False,True,9,12736,152832,1,0,monthly,1,29,1497,2838.54,84,15,3,1.0,36.33,62.33,0,0,2024-03-09,support,0.0,False,True,False,,6,1,Churned,1,199.0,0.0,0.0561,0.01,0.5,4.8333,0,1,1,0.451
A-180abf,Company_122,DevTools,US,2023-08-14 00:00:00,event,Pro,64,False,True,9,12736,152832,1,0,monthly,1,29,1497,2838.54,84,15,3,1.0,36.33,62.33,0,0,2023-12-04,support,0.0,False,False,False,,3,1,Churned,1,199.0,0.0,0.0561,0.01,1.0,9.6667,0,1,1,0.451
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10 00:00:00,other,Basic,21,True,True,13,12537,150444,1,0,monthly,1,34,3460,2804.29,125,30,5,3.8,35.4,63.0,0,0,,,0.0,,,,,19,1,Churned,1,597.0,0.0,0.0361,0.0087,0.2632,1.7895,0,0,1,0.609
A-7f6b86,Company_299,HealthTech,US,2023-08-24 00:00:00,partner,Basic,45,True,True,9,11741,140892,1,0,monthly,1,27,2940,3518.27,98,21,7,1.57,40.43,96.57,246,0,2024-07-10,pricing,5.27,False,False,False,,10,1,Churned,1,260.91,35.1429,0.0333,0.0071,0.7,2.7,0,1,1,0.5946
A-8adedc,Company_300,EdTech,US,2024-02-11 00:00:00,event,Basic,4,True,True,14,11343,136116,0,0,monthly,1,32,2332,2721.26,132,20,4,1.0,49.25,56.75,62,0,,,0.0,,,,,24,1,Churned,1,2835.75,15.5,0.0566,0.0086,0.1667,1.3333,0,1,1,0.5147
A-503d5a,Company_99,FinTech,US,2023-10-21 00:00:00,other,Enterprise,4,False,True,12,11144,133728,0,1,monthly,1,34,5445,3585.85,288,54,9,1.33,36.56,81.78,236,0,,,0.0,,,,,28,1,Churned,1,2786.0,26.2222,0.0529,0.0099,0.3214,1.2143,1,1,1,0.817
A-249769,Company_214,Cybersecurity,US,2024-04-25 00:00:00,event,Enterprise,4,False,True,13,11144,133728,0,0,monthly,1,31,1356,2849.66,60,6,2,4.0,39.5,96.5,68,0,2024-12-16,budget,0.0,False,False,False,,7,1,Churned,1,2786.0,34.0,0.0442,0.0044,0.2857,4.4286,1,1,1,0.4661
A-249769,Company_214,Cybersecurity,US,2024-04-25 00:00:00,event,Enterprise,4,False,True,13,11144,133728,0,0,monthly,1,31,1356,2849.66,60,6,2,4.0,39.5,96.5,68,0,2024-06-12,pricing,0.0,False,False,True,too expensive,1,1,Churned,1,2786.0,34.0,0.0442,0.0044,2.0,31.0,1,1,1,0.4661
A-812c5b,Company_395,DevTools,CA,2024-02-25 00:00:00,organic,Basic,55,False,True,13,10945,131340,0,0,monthly,1,33,3464,3063.58,184,44,4,2.0,27.0,88.25,264,0,2024-05-11,support,11.83,False,False,False,missing features,2,1,Churned,1,199.0,66.0,0.0531,0.0127,2.0,16.5,0,0,1,0.631
A-e693b6,Company_240,FinTech,AU,2023-05-25 00:00:00,event,Enterprise,55,False,True,12,10945,131340,1,0,monthly,1,31,681,3379.79,25,4,1,3.0,1.0,144.0,61,0,2024-10-10,budget,0.0,False,True,False,missing features,16,1,Churned,1,199.0,61.0,0.0367,0.0059,0.0625,1.9375,1,0,1,0.4952
A-b07346,Company_269,HealthTech,US,2024-10-10 00:00:00,partner,Pro,51,False,True,5,10149,121788,1,0,monthly,1,23,978,3240.7,66,12,3,2.33,42.33,76.67,66,0,2024-11-12,budget,0.0,False,False,False,missing features,1,1,Churned,1,199.0,22.0,0.0675,0.0123,3.0,23.0,0,1,1,0.4082
A-6f50ae,Company_466,FinTech,US,2023-09-21 00:00:00,partner,Pro,19,False,True,14,9950,119400,0,1,monthly,1,35,4055,2891.71,240,25,5,3.6,31.0,87.4,166,0,2024-02-26,features,0.0,False,False,True,,5,1,Churned,1,523.68,33.2,0.0592,0.0062,1.0,7.0,0,1,1,0.6637
A-6f50ae,Company_466,FinTech,US,2023-09-21 00:00:00,partner,Pro,19,False,True,14,9950,119400,0,1,monthly,1,35,4055,2891.71,240,25,5,3.6,31.0,87.4,166,0,2023-11-06,unknown,0.0,False,False,False,missing features,1,1,Churned,1,523.68,33.2,0.0592,0.0062,5.0,35.0,0,1,1,0.6637
A-0dbdc6,Company_366,Cybersecurity,DE,2023-02-12 00:00:00,other,Pro,30,False,True,9,9950,119400,0,0,monthly,1,32,2048,2982.83,124,24,4,1.25,47.0,95.25,52,0,2024-04-14,pricing,175.02,False,False,False,too expensive,14,1,Churned,1,331.67,13.0,0.0605,0.0117,0.2857,2.2857,0,0,1,0.5318
A-0dbdc6,Company_366,Cybersecurity,DE,2023-02-12 00:00:00,other,Pro,30,False,True,9,9950,119400,0,0,monthly,1,32,2048,2982.83,124,24,4,1.25,47.0,95.25,52,0,2023-11-26,support,0.0,False,True,False,missing features,9,1,Churned,1,331.67,13.0,0.0605,0.0117,0.4444,3.5556,0,0,1,0.5318
A-35083d,Company_27,HealthTech,IN,2023-04-28 00:00:00,partner,Basic,19,False,True,16,9751,117012,1,0,monthly,1,29,3164,3292.43,148,28,4,3.75,49.75,119.0,216,0,,,0.0,,,,,34,1,Churned,1,513.21,54.0,0.0468,0.0088,0.1176,0.8529,0,0,1,0.6002
A-4c56c9,Company_449,FinTech,US,2023-12-20 00:00:00,partner,Enterprise,9,False,True,13,9751,117012,0,0,monthly,1,34,3115,3061.36,190,35,5,3.0,38.6,68.2,128,0,2024-04-05,budget,44.23,True,False,False,missing features,3,1,Churned,1,1083.44,25.6,0.061,0.0112,1.6667,11.3333,1,1,1,0.6222
A-b2225d,Company_50,FinTech,US,2024-03-08 00:00:00,ads,Basic,47,False,True,12,9353,112236,1,1,monthly,1,34,1392,3242.37,120,10,2,1.5,42.0,38.0,146,0,2024-05-16,support,0.0,True,False,False,switched to competitor,2,1,Churned,1,199.0,73.0,0.0862,0.0072,1.0,17.0,0,1,1,0.5496
A-eb2fdc,Company_216,DevTools,AU,2023-11-21 00:00:00,organic,Enterprise,31,False,True,12,9353,112236,0,0,monthly,1,29,2735,3234.5,85,15,5,3.6,33.6,37.6,0,0,2024-05-26,competitor,0.0,False,False,False,missing features,6,1,Churned,1,301.71,0.0,0.0311,0.0055,0.8333,4.8333,1,0,1,0.5691
A-b2225d,Company_50,FinTech,US,2024-03-08 00:00:00,ads,Basic,47,False,True,12,9353,112236,1,1,monthly,1,34,1392,3242.37,120,10,2,1.5,42.0,38.0,146,0,2024-03-31,pricing,0.0,False,False,False,too expensive,0,1,Churned,1,199.0,73.0,0.0862,0.0072,2.0,34.0,0,1,1,0.5496
A-b2225d,Company_50,FinTech,US,2024-03-08 00:00:00,ads,Basic,47,False,True,12,9353,112236,1,1,monthly,1,34,1392,3242.37,120,10,2,1.5,42.0,38.0,146,0,2024-06-27,budget,0.0,False,False,True,,3,1,Churned,1,199.0,73.0,0.0862,0.0072,0.6667,11.3333,0,1,1,0.5496
A-3ce5b8,Company_256,FinTech,IN,2023-09-07 00:00:00,ads,Basic,8,False,True,9,9261,111132,0,0,monthly,1,29,5090,2956.04,290,50,10,2.6,42.5,101.8,300,0,2024-09-18,features,261.49,False,False,False,too expensive,12,1,Churned,1,1157.62,30.0,0.057,0.0098,0.8333,2.4167,0,0,1,0.6645
A-5a184f,Company_124,DevTools,DE,2023-06-19 00:00:00,other,Enterprise,1,False,True,10,9154,109848,0,1,monthly,1,30,1761,3081.21,87,6,3,4.33,15.33,42.33,57,0,2024-09-11,support,0.0,False,False,False,switched to competitor,14,1,Churned,1,9154.0,19.0,0.0494,0.0034,0.2143,2.1429,1,0,1,0.5068
A-5a184f,Company_124,DevTools,DE,2023-06-19 00:00:00,other,Enterprise,1,False,True,10,9154,109848,0,1,monthly,1,30,1761,3081.21,87,6,3,4.33,15.33,42.33,57,0,2024-03-19,support,0.0,False,True,False,missing features,9,1,Churned,1,9154.0,19.0,0.0494,0.0034,0.3333,3.3333,1,0,1,0.5068
A-5a184f,Company_124,DevTools,DE,2023-06-19 00:00:00,other,Enterprise,1,False,True,10,9154,109848,0,1,monthly,1,30,1761,3081.21,87,6,3,4.33,15.33,42.33,57,0,2023-07-23,features,0.0,False,False,False,too expensive,1,1,Churned,1,9154.0,19.0,0.0494,0.0034,3.0,30.0,1,0,1,0.5068
A-271f46,Company_84,DevTools,US,2023-02-09 00:00:00,event,Pro,38,False,True,8,9154,109848,0,0,monthly,1,25,373,3014.82,16,1,1,0.0,36.0,79.0,0,0,2024-08-09,features,0.0,False,False,True,missing features,18,0,Churned,1,240.89,0.0,0.0429,0.0027,0.0556,1.3889,0,1,1,0.3679
A-271f46,Company_84,DevTools,US,2023-02-09 00:00:00,event,Pro,38,False,True,8,9154,109848,0,0,monthly,1,25,373,3014.82,16,1,1,0.0,36.0,79.0,0,0,2023-03-04,support,0.0,False,False,False,,0,0,Churned,1,240.89,0.0,0.0429,0.0027,1.0,25.0,0,1,1,0.3679
A-7df7a7,Company_125,DevTools,US,2023-01-28 00:00:00,organic,Basic,7,False,True,15,8955,107460,0,1,monthly,1,36,2766,2822.1,141,30,3,4.0,28.0,93.0,273,91,2024-07-10,budget,0.0,False,False,False,missing features,17,1,Churned,1,1279.29,91.0,0.051,0.0108,0.1765,2.1176,0,1,1,0.5944
A-117171,Company_135,HealthTech,FR,2024-09-12 00:00:00,organic,Basic,45,False,True,5,8955,107460,0,1,monthly,1,15,1248,2850.67,66,6,6,1.83,32.5,68.33,42,21,2024-10-22,features,102.86,False,False,False,switched to competitor,1,1,Churned,1,199.0,7.0,0.0529,0.0048,6.0,15.0,0,0,1,0.2882
A-84ebe4,Company_68,FinTech,US,2023-03-12 00:00:00,ads,Pro,18,True,True,11,8955,107460,0,0,monthly,1,27,1584,2944.17,104,28,4,2.0,29.5,135.5,42,0,2024-01-05,budget,0.0,False,False,False,switched to competitor,9,1,Churned,1,497.5,10.5,0.0657,0.0177,0.4444,3.0,0,1,1,0.4475
A-50f3f7,Company_140,HealthTech,US,2023-12-22 00:00:00,partner,Basic,31,False,True,15,8955,107460,0,1,monthly,1,30,4110,2873.51,270,42,6,2.5,37.83,67.83,144,72,,,0.0,,,,,26,1,Churned,1,288.87,24.0,0.0657,0.0102,0.2308,1.1538,0,1,1,0.6107
A-117171,Company_135,HealthTech,FR,2024-09-12 00:00:00,organic,Basic,45,False,True,5,8955,107460,0,1,monthly,1,15,1248,2850.67,66,6,6,1.83,32.5,68.33,42,21,2024-11-14,pricing,0.0,False,False,False,,2,1,Churned,1,199.0,7.0,0.0529,0.0048,3.0,7.5,0,0,1,0.2882
A-117171,Company_135,HealthTech,FR,2024-09-12 00:00:00,organic,Basic,45,False,True,5,8955,107460,0,1,monthly,1,15,1248,2850.67,66,6,6,1.83,32.5,68.33,42,21,2024-10-13,budget,0.0,False,False,False,switched to competitor,1,1,Churned,1,199.0,7.0,0.0529,0.0048,6.0,15.0,0,0,1,0.2882
A-84ebe4,Company_68,FinTech,US,2023-03-12 00:00:00,ads,Pro,18,True,True,11,8955,107460,0,0,monthly,1,27,1584,2944.17,104,28,4,2.0,29.5,135.5,42,0,2024-01-20,support,0.0,False,False,False,missing features,10,1,Churned,1,497.5,10.5,0.0657,0.0177,0.4,2.7,0,1,1,0.4475
A-e89151,Company_234,FinTech,UK,2023-09-14 00:00:00,organic,Pro,8,True,True,9,8756,105072,1,0,monthly,1,30,1202,3254.93,58,26,2,2.5,41.5,48.5,0,0,,,0.0,,,,,29,1,Churned,1,1094.5,0.0,0.0483,0.0216,0.069,1.0345,0,0,1,0.4976
A-95b24a,Company_117,FinTech,US,2023-06-06 00:00:00,event,Pro,38,False,True,11,8557,102684,1,1,monthly,1,32,3055,3046.06,170,40,5,3.4,21.2,90.4,248,0,,,0.0,,,,,33,1,Churned,1,225.18,49.6,0.0556,0.0131,0.1515,0.9697,0,1,1,0.5955
A-592832,Company_10,Cybersecurity,US,2024-09-25 00:00:00,organic,Basic,18,False,True,19,8358,100296,1,1,monthly,1,38,3159,3230.52,165,39,3,1.67,32.67,80.67,102,0,2024-10-04,support,22.66,False,False,False,switched to competitor,0,1,Churned,1,464.33,34.0,0.0522,0.0123,3.0,38.0,0,1,1,0.6889
A-1d5444,Company_427,Cybersecurity,US,2024-01-18 00:00:00,partner,Basic,24,False,True,14,8159,97908,1,0,monthly,1,28,1184,3085.27,70,12,2,2.0,30.0,62.5,120,0,2024-06-01,support,0.0,False,False,False,too expensive,4,1,Churned,1,339.96,60.0,0.0591,0.0101,0.5,7.0,0,1,1,0.4538
A-9779ad,Company_171,Cybersecurity,AU,2024-03-29 00:00:00,event,Pro,40,True,True,10,7960,95520,0,0,monthly,1,29,1239,2536.72,75,9,3,1.67,20.67,116.33,86,0,2024-08-11,features,0.0,False,False,False,too expensive,4,1,Churned,1,199.0,28.6667,0.0605,0.0073,0.75,7.25,0,0,1,0.3988
A-f19409,Company_105,DevTools,US,2023-03-16 00:00:00,other,Basic,23,False,True,12,7960,95520,1,0,monthly,1,33,1977,3384.06,93,36,3,1.33,6.33,103.33,62,0,2023-03-26,competitor,0.0,False,True,False,switched to competitor,0,1,Churned,1,346.09,20.6667,0.047,0.0182,3.0,33.0,0,1,1,0.589
A-13466a,Company_196,DevTools,AU,2023-10-22 00:00:00,event,Basic,2,False,True,6,7960,95520,0,0,monthly,1,17,615,2615.41,42,6,3,4.33,32.33,94.33,44,22,2024-04-18,pricing,6.51,False,True,True,switched to competitor,5,1,Churned,1,3980.0,14.6667,0.0683,0.0098,0.6,3.4,0,0,1,0.2451
A-9779ad,Company_171,Cybersecurity,AU,2024-03-29 00:00:00,event,Pro,40,True,True,10,7960,95520,0,0,monthly,1,29,1239,2536.72,75,9,3,1.67,20.67,116.33,86,0,2024-04-17,unknown,0.0,True,False,False,switched to competitor,0,1,Churned,1,199.0,28.6667,0.0605,0.0073,3.0,29.0,0,0,1,0.3988
A-13466a,Company_196,DevTools,AU,2023-10-22 00:00:00,event,Basic,2,False,True,6,7960,95520,0,0,monthly,1,17,615,2615.41,42,6,3,4.33,32.33,94.33,44,22,2023-11-18,support,0.0,False,False,False,switched to competitor,0,1,Churned,1,3980.0,14.6667,0.0683,0.0098,3.0,17.0,0,0,1,0.2451
A-f19409,Company_105,DevTools,US,2023-03-16 00:00:00,other,Basic,23,False,True,12,7960,95520,1,0,monthly,1,33,1977,3384.06,93,36,3,1.33,6.33,103.33,62,0,2023-05-25,features,0.0,False,True,False,too expensive,2,1,Churned,1,346.09,20.6667,0.047,0.0182,1.5,16.5,0,1,1,0.589
A-e1b9cd,Company_484,DevTools,US,2023-02-26 00:00:00,event,Pro,40,False,True,15,7960,95520,0,1,monthly,1,34,840,3045.2,47,9,1,3.0,35.0,115.0,80,0,2024-10-01,unknown,0.0,False,False,False,switched to competitor,19,1,Churned,1,199.0,80.0,0.056,0.0107,0.0526,1.7895,0,1,1,0.4943
A-89ee83,Company_312,Cybersecurity,US,2024-10-04 00:00:00,organic,Pro,1,False,True,11,7960,95520,1,0,monthly,1,28,2825,2925.86,130,30,5,2.4,21.8,66.2,118,59,,,0.0,,,,,17,1,Churned,1,7960.0,23.6,0.046,0.0106,0.2941,1.6471,0,1,1,0.5246
A-9779ad,Company_171,Cybersecurity,AU,2024-03-29 00:00:00,event,Pro,40,True,True,10,7960,95520,0,0,monthly,1,29,1239,2536.72,75,9,3,1.67,20.67,116.33,86,0,2024-08-03,competitor,0.0,False,False,False,missing features,4,1,Churned,1,199.0,28.6667,0.0605,0.0073,0.75,7.25,0,0,1,0.3988
A-b7b7b7,Company_338,FinTech,US,2024-06-30 00:00:00,event,Basic,24,False,True,12,7761,93132,1,0,monthly,1,31,1713,3025.27,78,18,3,3.33,17.0,99.0,0,0,,,0.0,,,,,20,1,Churned,1,323.38,0.0,0.0455,0.0105,0.15,1.55,0,1,1,0.5078
A-f17767,Company_123,DevTools,US,2023-01-30 00:00:00,event,Enterprise,1,True,True,14,7761,93132,1,1,monthly,1,35,2139,3028.65,114,12,3,2.67,36.33,115.0,142,71,2023-05-03,pricing,0.0,True,False,False,,3,1,Churned,1,7761.0,47.3333,0.0533,0.0056,1.0,11.6667,1,1,1,0.5749
A-692f18,Company_195,EdTech,US,2024-03-28 00:00:00,other,Basic,5,True,True,17,7363,88356,1,1,monthly,1,36,1742,3010.47,110,18,2,2.5,37.5,120.0,87,0,2024-12-23,support,0.0,True,False,False,switched to competitor,8,1,Churned,1,1472.6,43.5,0.0631,0.0103,0.25,4.5,0,1,1,0.5614
A-e4bf56,Company_272,HealthTech,IN,2024-10-28 00:00:00,ads,Pro,17,False,True,7,7363,88356,0,1,monthly,1,25,2712,3499.64,80,8,8,2.75,29.12,111.5,198,0,,,0.0,,,,,16,1,Churned,1,433.12,24.75,0.0295,0.0029,0.5,1.5625,0,0,1,0.5581
A-4c38bc,Company_55,HealthTech,UK,2024-03-09 00:00:00,event,Basic,36,False,True,16,7164,85968,1,0,monthly,1,37,2454,3350.1,81,30,3,2.33,48.33,43.0,162,0,,,0.0,,,,,24,1,Churned,1,199.0,54.0,0.033,0.0122,0.125,1.5417,0,0,1,0.6541
A-7f8241,Company_42,EdTech,US,2023-03-14 00:00:00,organic,Pro,34,False,True,15,7164,85968,1,0,monthly,1,34,734,2950.47,38,5,1,3.0,36.0,135.0,0,0,,,0.0,,,,,35,1,Churned,1,210.71,0.0,0.0518,0.0068,0.0286,0.9714,0,1,1,0.4765
A-3932db,Company_144,HealthTech,CA,2023-10-04 00:00:00,other,Pro,19,True,True,9,6965,83580,1,1,monthly,1,28,2604,2933.98,168,24,6,2.17,41.0,86.5,138,0,,,0.0,,,,,29,1,Churned,1,366.58,23.0,0.0645,0.0092,0.2069,0.9655,0,0,1,0.5134
A-e61e98,Company_115,FinTech,US,2023-10-20 00:00:00,partner,Enterprise,19,False,True,9,6766,81192,1,0,monthly,1,32,3162,2357.04,150,42,6,3.83,30.33,88.5,112,56,2024-10-19,features,0.0,False,True,False,switched to competitor,11,1,Churned,1,356.11,18.6667,0.0474,0.0133,0.5455,2.9091,1,1,1,0.5149
A-eafc6e,Company_149,DevTools,US,2023-07-06 00:00:00,partner,Pro,27,False,True,7,6766,81192,0,0,monthly,1,23,300,2819.31,15,3,1,0.0,64.0,136.0,0,0,2023-07-31,pricing,0.0,False,False,False,,0,0,Churned,1,250.59,0.0,0.05,0.01,1.0,23.0,0,1,1,0.3178
A-eafc6e,Company_149,DevTools,US,2023-07-06 00:00:00,partner,Pro,27,False,True,7,6766,81192,0,0,monthly,1,23,300,2819.31,15,3,1,0.0,64.0,136.0,0,0,2024-12-12,unknown,0.0,False,False,False,,17,0,Churned,1,250.59,0.0,0.05,0.01,0.0588,1.3529,0,1,1,0.3178
A-d26ab4,Company_497,DevTools,UK,2024-11-07 00:00:00,organic,Basic,9,False,True,9,6567,78804,0,1,monthly,1,24,916,2638.67,48,6,2,2.0,49.5,110.0,46,0,2024-12-26,pricing,86.02,False,False,False,too expensive,1,1,Churned,1,729.67,23.0,0.0524,0.0066,2.0,24.0,0,0,1,0.34
A-1ac5e0,Company_126,DevTools,US,2024-10-20 00:00:00,event,Basic,33,False,True,10,6567,78804,0,0,monthly,1,31,3906,2998.29,217,49,7,2.71,40.43,76.0,224,0,,,0.0,,,,,16,1,Churned,1,199.0,32.0,0.0556,0.0125,0.4375,1.9375,0,1,1,0.6258
A-d922bf,Company_221,HealthTech,US,2023-09-08 00:00:00,ads,Basic,5,True,True,7,6368,76416,0,0,monthly,1,24,2933,3271.2,133,21,7,1.43,39.14,101.14,82,41,2024-12-06,support,11.13,False,True,False,too expensive,14,1,Churned,1,1273.6,11.7143,0.0453,0.0072,0.5,1.7143,0,1,1,0.5309
