user_id,signup_date,user_type,age_group,country,verification_status,account_balance,total_lifetime_transactions,total_lifetime_value,last_active_date
USER_000033,2024-02-22,Consumer,45-54,India,Verified,7.45,12,721.5,2024-10-05 16:47:55
USER_000034,2024-02-17,Business,35-44,Australia,Verified,552.94,15,974.45,2024-09-23 12:43:11
USER_000035,2024-07-13,Premium,45-54,UAE,Verified,206.54,13,1355.98,2024-10-24 16:06:50
USER_000036,2024-02-19,Business,25-34,USA,Verified,159.24,15,2329.7,2024-10-24 06:03:38
USER_000037,2024-07-02,Consumer,18-24,USA,Verified,54.56,12,1640.07,2024-10-18 14:15:32
USER_000038,2024-06-25,Consumer,35-44,Brazil,Verified,268.1,5,335.02,2024-10-14 18:18:06
USER_000039,2024-05-15,Consumer,25-34,Singapore,Verified,244.23,8,2310.11,2024-10-18 16:40:40
USER_000040,2024-01-23,Consumer,25-34,UK,Verified,13.6,12,659.03,2024-08-12 05:27:34
USER_000041,2024-08-23,Consumer,35-44,UK,Verified,74.45,7,394.15,2024-04-03 14:06:47
USER_000042,2024-10-01,Consumer,35-44,UK,Verified,101.91,10,597.2,2024-10-07 15:16:09
USER_000043,2024-03-04,Consumer,18-24,Australia,Unverified,34.54,9,654.88,2024-08-24 10:55:41
USER_000044,2024-07-12,Business,35-44,Australia,Verified,352.62,11,11771.25,2024-09-10 13:33:09
USER_000045,2024-02-10,Consumer,25-34,USA,Unverified,1028.58,10,1143.49,2024-10-22 10:12:12
USER_000046,2024-10-09,Consumer,35-44,UK,Verified,334.49,11,1764.07,2024-09-17 21:09:34
USER_000047,2024-05-30,Consumer,25-34,USA,Verified,13.67,9,2324.25,2024-09-28 06:38:37
USER_000048,2024-07-04,Consumer,25-34,USA,Verified,58.23,12,1014.94,2024-09-16 21:11:32
USER_000049,2024-10-22,Consumer,35-44,USA,Verified,24.82,12,736.16,2024-10-26 19:13:49
USER_000050,2024-04-08,Consumer,35-44,USA,Verified,30.38,6,444.93,2024-08-29 16:45:12
USER_000051,2024-02-05,Premium,25-34,USA,Verified,28.69,9,768.28,2024-10-02 08:30:55
USER_000052,2024-01-24,Business,35-44,UK,Verified,286.26,9,634.51,2024-10-22 22:20:00
USER_000053,2024-04-26,Business,25-34,USA,Verified,13.24,6,2264.61,2024-10-10 12:58:30
USER_000054,2024-05-28,Business,45-54,India,Verified,18.79,11,852.27,2024-10-26 21:22:34
USER_000055,2024-02-10,Consumer,35-44,France,Verified,72.32,6,1903.48,2024-09-24 18:09:14
USER_000056,2024-04-29,Business,35-44,Australia,Unverified,927.85,11,927.27,2024-10-22 11:16:27
USER_000057,2024-02-21,Consumer,25-34,Germany,Verified,492.99,9,785.22,2024-10-10 13:06:31
USER_000058,2024-07-13,Consumer,25-34,Germany,Verified,120.34,6,515.4,2024-10-11 21:01:54
USER_000059,2024-05-22,Consumer,25-34,USA,Unverified,15.08,5,2184.88,2024-08-26 23:03:05
USER_000060,2024-08-20,Consumer,25-34,USA,Verified,103.63,17,3127.82,2024-10-14 18:11:23
USER_000061,2024-07-05,Consumer,25-34,UAE,Verified,256.64,8,1630.34,2024-09-12 09:58:11
USER_000062,2024-03-24,Consumer,25-34,UK,Verified,408.06,12,1478.75,2024-10-01 16:50:48
USER_000063,2024-07-08,Business,35-44,USA,Verified,438.57,9,2380.74,2024-10-15 20:46:22
USER_000064,2024-06-30,Consumer,18-24,USA,Verified,486.74,5,264.27,2024-08-26 13:29:25
USER_000065,2024-04-17,Consumer,45-54,India,Verified,208.27,4,279.84,2024-09-30 19:46:53
USER_000066,2024-05-16,Consumer,18-24,USA,Unverified,115.77,6,257.12,2024-10-18 15:18:14
USER_000067,2024-02-06,Consumer,55+,UK,Verified,150.38,10,846.64,2024-10-15 10:24:16
USER_000068,2024-03-28,Business,55+,Germany,Verified,548.41,9,1005.22,2024-10-23 14:14:46
USER_000069,2024-09-30,Consumer,25-34,Singapore,Unverified,153.86,7,895.06,2024-10-03 13:39:32
USER_000070,2024-05-05,Premium,55+,USA,Verified,18.29,6,1262.02,2024-10-25 09:52:08
USER_000071,2024-03-24,Business,45-54,UK,Verified,184.58,9,739.47,2024-10-02 11:36:19
USER_000072,2024-08-24,Consumer,18-24,UAE,Verified,10.06,17,1887.04,2024-10-25 01:20:39
USER_000073,2024-07-13,Consumer,45-54,USA,Verified,57.18,5,528.23,2024-06-27 15:31:07
USER_000074,2024-05-18,Business,18-24,USA,Verified,10.18,11,1817.05,2024-09-02 11:18:51
USER_000075,2024-10-12,Consumer,18-24,USA,Verified,299.82,7,1841.32,2024-07-02 09:23:00
USER_000076,2024-04-22,Consumer,35-44,Canada,Unverified,111.97,11,1776.33,2024-09-25 22:19:19
USER_000077,2024-06-15,Business,18-24,USA,Verified,219.16,9,659.09,2024-10-06 19:40:44
USER_000078,2024-01-29,Consumer,18-24,France,Verified,136.81,8,317.68,2024-09-21 15:16:00
USER_000079,2024-04-27,Consumer,55+,Canada,Unverified,32.4,13,1391.06,2024-09-19 15:56:26
USER_000080,2024-01-17,Consumer,55+,Canada,Unverified,126.56,14,1854.38,2024-10-08 07:38:54
USER_000081,2024-06-10,Business,35-44,Canada,Unverified,71.58,11,1845.06,2024-09-30 11:15:40
USER_000082,2024-07-24,Consumer,25-34,UAE,Verified,76.8,11,590.86,2024-10-22 17:04:24
USER_000083,2024-05-17,Consumer,45-54,Canada,Verified,103.75,11,2475.19,2024-09-22 13:16:19
USER_000084,2024-02-03,Consumer,18-24,USA,Unverified,46.85,8,716.03,2024-10-16 18:18:07
USER_000085,2024-04-18,Consumer,45-54,USA,Unverified,36.09,13,1164.8,2024-10-05 13:27:39
USER_000086,2024-10-17,Consumer,25-34,Australia,Unverified,24.44,13,1732.66,2024-09-03 20:44:43
USER_000087,2024-06-10,Consumer,45-54,Germany,Verified,106.53,12,892.32,2024-10-26 19:39:27
USER_000088,2024-04-18,Consumer,35-44,France,Pending,25.47,11,2158.68,2024-08-27 13:47:33
USER_000089,2024-09-12,Business,55+,Brazil,Pending,119.33,9,4794.34,2024-10-13 14:17:21
USER_000090,2024-07-21,Consumer,45-54,UK,Verified,157.38,14,1880.04,2024-09-29 12:10:07
USER_000091,2024-08-22,Consumer,45-54,USA,Verified,1313.1,12,1190.43,2024-10-12 18:27:21
USER_000092,2024-03-14,Consumer,35-44,UAE,Verified,171.17,11,742.94,2024-10-16 14:11:19
USER_000093,2024-05-15,Business,45-54,UK,Verified,5.48,9,871.4,2024-07-29 15:28:45
USER_000094,2024-03-12,Consumer,35-44,USA,Verified,116.4,13,2285.21,2024-10-18 07:27:30
USER_000095,2024-05-06,Business,18-24,Canada,Verified,317.56,11,2964.85,2024-10-23 19:49:01
USER_000096,2024-10-14,Consumer,35-44,Canada,Verified,28.85,6,594.9,2024-09-29 11:36:30
USER_000097,2024-10-02,Consumer,18-24,Canada,Verified,205.65,8,809.47,2024-08-24 18:22:15
USER_000098,2024-05-14,Consumer,45-54,Singapore,Verified,114.09,11,1165.64,2024-10-21 16:26:56
USER_000099,2024-10-26,Consumer,18-24,USA,Verified,419.16,12,1910.39,2024-10-04 18:56:51
USER_000100,2024-08-07,Consumer,55+,USA,Verified,135.81,13,1556.7,2024-10-25 13:41:01
USER_000101,2024-10-25,Consumer,25-34,Brazil,Unverified,59.14,7,593.84,2024-07-30 18:33:37
USER_000102,2024-07-23,Consumer,18-24,USA,Unverified,73.07,11,6290.2,2024-10-23 19:44:36
USER_000103,2024-07-04,Consumer,45-54,France,Unverified,70.52,10,613.31,2024-10-08 09:34:24
USER_000104,2024-04-22,Consumer,18-24,USA,Verified,53.04,9,642.8,2024-10-13 22:56:18
USER_000105,2024-03-11,Business,25-34,India,Verified,10.15,5,409.46,2024-03-31 18:07:47
USER_000106,2024-09-17,Consumer,35-44,Brazil,Verified,106.81,8,672.91,2024-09-06 18:08:06
USER_000107,2024-09-09,Consumer,25-34,USA,Pending,291.42,15,3250.88,2024-09-10 00:42:51
USER_000108,2024-02-16,Business,25-34,USA,Verified,195.45,11,777.18,2024-09-18 21:34:50
USER_000109,2024-01-25,Consumer,35-44,Brazil,Unverified,52.07,12,1014.82,2024-10-22 13:25:25
USER_000110,2024-02-26,Consumer,55+,Australia,Verified,38.66,10,746.62,2024-07-19 10:20:04
USER_000111,2024-03-19,Consumer,18-24,USA,Verified,20.64,12,782.17,2024-09-29 06:48:51
USER_000112,2024-03-22,Consumer,18-24,USA,Verified,12.55,8,1496.61,2024-09-19 14:36:33
USER_000113,2024-08-04,Business,25-34,UK,Unverified,144.91,13,3818.39,2024-09-24 02:40:48
USER_000114,2024-02-02,Business,25-34,India,Verified,79.75,11,749.91,2024-10-04 12:32:08
USER_000115,2024-07-16,Consumer,25-34,USA,Verified,32.99,14,3305.84,2024-10-15 01:30:52
USER_000116,2024-07-14,Business,25-34,France,Verified,114.53,9,1152.45,2024-09-23 12:49:21
USER_000117,2024-08-27,Business,35-44,USA,Verified,145.05,11,786.64,2024-10-05 15:55:10
USER_000118,2024-09-27,Consumer,45-54,UK,Verified,865.52,7,1550.05,2024-10-14 11:49:54
USER_000119,2024-05-08,Business,18-24,France,Unverified,5.97,7,531.36,2024-08-31 11:45:06
USER_000120,2024-10-10,Consumer,25-34,USA,Unverified,13.7,9,594.48,2024-09-27 20:46:47
USER_000121,2024-01-06,Business,35-44,USA,Verified,3745.99,17,1959.81,2024-09-16 10:57:31
USER_000122,2024-02-28,Business,18-24,Australia,Verified,49.21,7,357.91,2024-09-02 18:55:43
USER_000123,2024-10-01,Consumer,35-44,USA,Verified,80.59,7,588.88,2024-08-26 08:49:58
USER_000124,2024-05-16,Consumer,25-34,Germany,Unverified,101.94,6,360.25,2024-08-31 18:52:32
USER_000125,2024-06-23,Consumer,25-34,Germany,Verified,18.3,11,1282.93,2024-07-22 22:36:28
USER_000126,2024-02-27,Consumer,25-34,Canada,Verified,20.59,7,1582.14,2024-08-05 14:13:02
USER_000127,2024-05-30,Business,25-34,USA,Unverified,17.81,9,1411.16,2024-10-06 08:16:01
USER_000128,2024-08-10,Business,45-54,UK,Unverified,4.76,13,508.52,2024-09-18 10:54:31
USER_000129,2024-03-21,Consumer,45-54,Germany,Verified,257.6,10,1031.05,2024-10-10 21:59:36
USER_000130,2024-08-20,Consumer,25-34,India,Pending,665.47,7,1019.37,2024-10-01 18:16:42
USER_000131,2024-01-02,Consumer,35-44,Australia,Verified,19.68,4,1561.35,2024-04-19 07:51:52
USER_000132,2024-05-14,Consumer,18-24,Germany,Verified,515.02,16,1610.98,2024-10-25 19:36:11
USER_000133,2024-09-13,Consumer,35-44,USA,Verified,115.92,11,839.76,2024-09-29 07:13:19
USER_000134,2024-04-01,Consumer,35-44,USA,Verified,563.33,8,993.82,2024-07-09 19:33:49
USER_000135,2024-09-16,Business,18-24,India,Unverified,105.59,13,3364.02,2024-10-07 00:46:00
USER_000136,2024-02-24,Consumer,18-24,Germany,Unverified,242.8,10,1582.83,2024-10-12 12:46:21
USER_000137,2024-06-01,Consumer,25-34,UK,Verified,117.26,10,1190.74,2024-10-18 01:40:14
USER_000138,2024-09-16,Consumer,18-24,UAE,Verified,21.48,12,2851.84,2024-09-11 12:12:12
USER_000139,2024-04-11,Consumer,35-44,India,Verified,91.13,10,1776.81,2024-09-14 15:03:24
USER_000140,2024-03-19,Premium,45-54,Germany,Unverified,118.34,12,1267.68,2024-09-23 22:44:04
USER_000141,2024-07-10,Premium,35-44,UK,Verified,542.74,12,1661.4,2024-10-16 03:16:05
USER_000142,2024-03-23,Consumer,25-34,USA,Verified,122.09,9,519.16,2024-08-27 19:00:38
USER_000143,2024-10-03,Consumer,25-34,Brazil,Unverified,12.87,16,1031.98,2024-10-25 05:16:00
USER_000144,2024-09-28,Consumer,25-34,UK,Verified,31.89,7,1340.25,2024-10-02 20:27:14
USER_000145,2024-01-01,Consumer,35-44,Australia,Unverified,205.96,12,1484.87,2024-10-20 11:01:21
USER_000146,2024-06-14,Consumer,25-34,Brazil,Verified,30.06,4,307.44,2024-08-26 07:02:41
USER_000147,2024-09-07,Consumer,25-34,UK,Verified,46.85,6,281.48,2024-10-20 19:48:34
USER_000148,2024-01-10,Consumer,35-44,Germany,Verified,66.84,17,5236.6,2024-10-24 06:05:43
USER_000149,2024-02-27,Consumer,25-34,USA,Verified,4.3,5,446.06,2024-10-07 14:53:02
USER_000150,2024-07-04,Consumer,18-24,Germany,Verified,89.89,8,2636.22,2024-07-17 12:07:22
USER_000151,2024-06-06,Business,18-24,USA,Verified,456.73,11,1520.87,2024-10-08 14:41:01
USER_000152,2024-05-02,Consumer,25-34,Germany,Verified,1.87,8,1653.27,2024-09-02 20:59:43
USER_000153,2024-01-30,Consumer,25-34,USA,Unverified,40.61,10,2012.99,2024-07-14 14:56:54
USER_000154,2024-05-03,Consumer,25-34,UK,Verified,7.75,9,743.99,2024-10-23 09:04:56
USER_000155,2024-10-17,Premium,18-24,Canada,Verified,70.51,11,2333.98,2024-10-25 17:39:43
USER_000156,2024-02-10,Consumer,25-34,UK,Unverified,73.31,9,4190.11,2024-10-15 08:50:14
USER_000157,2024-02-13,Consumer,18-24,Australia,Verified,90.16,11,2383.99,2024-10-07 11:14:52
USER_000158,2024-09-05,Business,45-54,Australia,Verified,137.13,9,517.85,2024-08-14 04:13:00
USER_000159,2024-02-05,Consumer,25-34,France,Verified,24.07,4,674.26,2024-05-22 23:48:28
USER_000160,2024-09-29,Consumer,18-24,Germany,Verified,6.68,10,1036.55,2024-10-14 15:45:34
USER_000161,2024-03-05,Consumer,35-44,Brazil,Verified,37.2,13,1813.27,2024-10-25 15:52:58
USER_000162,2024-03-06,Consumer,25-34,Canada,Verified,16.39,13,3957.22,2024-10-03 19:30:10
USER_000163,2024-08-31,Consumer,35-44,USA,Verified,55.72,7,775.75,2024-10-15 19:34:32
USER_000164,2024-10-08,Consumer,18-24,USA,Verified,43.12,11,807.85,2024-09-28 22:50:09
USER_000165,2024-03-25,Consumer,55+,Canada,Verified,19.38,11,1484.92,2024-10-23 04:45:33
USER_000166,2024-05-15,Business,55+,USA,Verified,66.47,7,651.93,2024-10-25 18:46:41
USER_000167,2024-09-27,Consumer,35-44,UK,Verified,283.28,7,632.05,2024-08-15 01:18:28
USER_000168,2024-08-04,Consumer,35-44,USA,Unverified,330.59,4,493.71,2024-08-10 18:17:40
USER_000169,2024-04-18,Consumer,25-34,Germany,Verified,49.56,9,881.65,2024-10-14 19:41:51
USER_000170,2024-10-03,Consumer,55+,India,Verified,196.45,9,937.74,2024-08-24 09:33:19
USER_000171,2024-04-12,Consumer,25-34,USA,Unverified,3.6,14,6009.61,2024-10-26 12:12:50
USER_000172,2024-06-08,Consumer,25-34,Australia,Verified,19.99,10,1363.83,2024-08-20 10:56:04
USER_000173,2024-07-23,Consumer,18-24,USA,Unverified,0.52,16,1468.52,2024-10-17 09:13:02
USER_000174,2024-07-10,Consumer,25-34,France,Unverified,8.57,9,1427.1,2024-09-08 19:46:34
USER_000175,2024-08-12,Consumer,35-44,USA,Verified,101.17,12,2059.84,2024-10-12 18:07:51
USER_000176,2024-09-21,Consumer,25-34,USA,Unverified,27.29,8,878.47,2024-10-09 21:43:58
USER_000177,2024-08-19,Consumer,35-44,UK,Verified,6.15,7,1095.84,2024-10-10 11:58:07
USER_000178,2024-03-02,Consumer,25-34,USA,Unverified,102.85,10,635.91,2024-10-18 19:27:03
USER_000179,2024-05-06,Business,45-54,USA,Pending,24.6,12,1611.97,2024-09-11 22:17:40
USER_000180,2024-04-25,Consumer,35-44,France,Verified,362.88,7,691.41,2024-08-16 21:48:17
USER_000181,2024-02-02,Consumer,35-44,USA,Verified,1.66,7,667.72,2024-10-17 15:55:34
USER_000182,2024-06-22,Consumer,35-44,Brazil,Verified,159.08,7,1526.16,2024-10-11 13:57:53
USER_000183,2024-01-11,Business,45-54,Australia,Verified,2618.56,10,1957.56,2024-09-11 20:37:57
USER_000184,2024-10-10,Business,18-24,UK,Verified,2263.22,13,2314.15,2024-10-20 04:11:50
USER_000185,2024-04-27,Consumer,18-24,Germany,Verified,167.26,12,4646.26,2024-10-20 05:33:43
USER_000186,2024-04-22,Consumer,35-44,France,Verified,323.04,13,1404.34,2024-10-16 10:24:20
USER_000187,2024-01-04,Business,35-44,Canada,Verified,39.18,11,1312.03,2024-08-31 10:14:51
USER_000188,2024-02-06,Consumer,25-34,Germany,Verified,27.27,8,1705.36,2024-08-21 09:08:20
USER_000189,2024-01-31,Consumer,25-34,Brazil,Verified,44.16,10,880.95,2024-10-10 09:21:31
USER_000190,2024-04-27,Consumer,25-34,India,Verified,16.24,8,1326.99,2024-10-22 08:20:31
USER_000191,2024-02-04,Consumer,25-34,Brazil,Verified,1.98,13,6329.17,2024-10-18 18:22:41
USER_000192,2024-01-17,Business,45-54,India,Unverified,37.11,7,322.32,2024-08-17 19:06:40
USER_000193,2024-06-18,Business,25-34,France,Pending,27.47,7,458.21,2024-10-04 17:35:21
USER_000194,2024-02-06,Consumer,35-44,UK,Verified,10.19,6,364.84,2024-10-10 14:00:34
USER_000195,2024-09-20,Consumer,35-44,UK,Verified,18.22,11,888.65,2024-07-20 11:35:28
USER_000196,2024-05-01,Consumer,18-24,Australia,Verified,94.89,7,1684.23,2024-09-05 18:08:44
USER_000197,2024-05-22,Consumer,18-24,Brazil,Verified,946.33,12,748.88,2024-10-16 11:02:57
USER_000198,2024-09-05,Business,25-34,USA,Verified,78.03,12,1575.27,2024-10-13 04:39:01
USER_000199,2024-04-19,Business,35-44,India,Verified,52.14,7,1341.81,2024-10-08 00:25:55
USER_000200,2024-10-03,Business,25-34,India,Verified,51.98,9,584.02,2024-08-14 20:47:02
USER_000201,2024-03-08,Consumer,18-24,USA,Verified,79.67,8,998.6,2024-10-25 22:35:59
USER_000202,2024-10-19,Consumer,25-34,Germany,Verified,34.0,7,402.86,2024-09-02 11:34:51
USER_000203,2024-10-22,Consumer,18-24,UAE,Verified,55.68,9,954.07,2024-10-12 07:38:49
USER_000204,2024-08-30,Business,25-34,India,Unverified,13.66,13,1043.97,2024-10-18 08:04:59
USER_000205,2024-05-04,Consumer,25-34,USA,Verified,70.57,10,3661.04,2024-09-29 21:07:25
USER_000206,2024-08-30,Consumer,18-24,Brazil,Unverified,231.3,6,823.1,2024-07-29 15:56:45
USER_000207,2024-07-27,Consumer,35-44,USA,Verified,18.7,10,1165.97,2024-08-21 08:11:23
USER_000208,2024-04-07,Consumer,25-34,USA,Verified,2.31,6,259.65,2024-06-23 17:44:29
USER_000209,2024-02-18,Consumer,35-44,USA,Verified,54.69,10,1441.85,2024-10-24 01:28:02
USER_000210,2024-02-19,Consumer,35-44,UK,Pending,27.28,8,1232.2,2024-10-26 15:47:10
USER_000211,2024-08-08,Consumer,45-54,India,Verified,53.23,8,1016.82,2024-09-24 11:23:15
USER_000212,2024-06-30,Consumer,18-24,USA,Verified,17.1,12,937.86,2024-10-19 19:58:48
USER_000213,2024-08-04,Consumer,25-34,UK,Verified,72.59,9,742.92,2024-10-01 12:15:36
USER_000214,2024-07-29,Consumer,45-54,USA,Verified,14.79,10,1462.02,2024-10-05 14:57:34
USER_000215,2024-08-27,Consumer,45-54,USA,Unverified,1033.63,8,640.41,2024-09-30 16:07:29
USER_000216,2024-01-28,Consumer,18-24,Brazil,Verified,26.13,7,685.32,2024-10-03 18:00:39
USER_000217,2024-02-20,Consumer,18-24,France,Verified,0.73,9,510.23,2024-09-10 01:51:21
USER_000218,2024-02-01,Consumer,45-54,Germany,Unverified,83.8,18,2276.65,2024-10-14 17:26:30
USER_000219,2024-07-25,Consumer,18-24,USA,Pending,23.44,7,1011.29,2024-10-11 13:30:05
USER_000220,2024-06-22,Business,45-54,USA,Pending,41.19,10,1024.27,2024-10-07 19:42:34
USER_000221,2024-02-25,Consumer,55+,India,Verified,13.69,9,609.04,2024-10-23 13:03:25
USER_000222,2024-05-07,Consumer,25-34,Singapore,Verified,122.12,5,644.83,2024-10-03 19:03:13
USER_000223,2024-04-08,Consumer,45-54,USA,Verified,23.95,12,5069.03,2024-10-25 10:27:39
USER_000224,2024-04-07,Consumer,25-34,Canada,Verified,239.83,8,1027.07,2024-10-15 08:58:56
USER_000225,2024-10-01,Consumer,35-44,UK,Verified,531.67,12,946.39,2024-10-08 07:36:27
USER_000226,2024-08-17,Consumer,25-34,France,Pending,36.05,6,578.41,2024-09-12 03:10:32
USER_000227,2024-03-12,Premium,18-24,USA,Verified,2.81,7,705.2,2024-09-28 12:17:20
USER_000228,2024-08-04,Consumer,35-44,Germany,Verified,103.77,8,1115.67,2024-10-21 20:16:46
USER_000229,2024-04-03,Business,18-24,USA,Verified,3.58,8,2890.0,2024-07-30 06:01:43
USER_000230,2024-05-22,Consumer,45-54,India,Verified,26.48,8,1055.93,2024-10-01 02:33:57
USER_000231,2024-08-24,Business,25-34,USA,Verified,215.68,9,691.13,2024-10-16 09:40:48
USER_000232,2024-05-07,Consumer,18-24,USA,Unverified,62.86,9,921.53,2024-10-19 21:58:52
USER_000233,2024-02-08,Consumer,25-34,UK,Unverified,7.3,9,1279.14,2024-07-26 09:18:18
USER_000234,2024-08-14,Consumer,45-54,USA,Verified,18.84,17,1832.39,2024-09-20 19:08:15
USER_000235,2024-10-08,Consumer,25-34,Australia,Unverified,23.9,8,2702.88,2024-08-07 02:32:55
USER_000236,2024-02-20,Consumer,45-54,USA,Pending,16.75,16,905.36,2024-10-25 06:52:01
USER_000237,2024-01-26,Consumer,18-24,Brazil,Unverified,106.48,7,498.98,2024-07-18 03:50:32
USER_000238,2024-10-03,Consumer,25-34,Brazil,Unverified,61.33,9,501.22,2024-09-11 13:31:14
USER_000239,2024-01-08,Consumer,45-54,India,Verified,7.31,7,816.15,2024-09-30 10:54:58
USER_000240,2024-02-17,Consumer,18-24,Singapore,Verified,2.19,8,698.83,2024-10-15 09:00:15
USER_000241,2024-05-01,Business,25-34,Australia,Unverified,118.2,10,995.23,2024-09-26 02:56:25
USER_000242,2024-03-26,Premium,45-54,Canada,Verified,46.02,6,1329.76,2024-07-31 23:21:08
USER_000243,2024-07-27,Business,35-44,France,Pending,30.09,6,582.3,2024-09-09 19:37:49
USER_000244,2024-09-05,Consumer,35-44,USA,Verified,17.64,12,1487.68,2024-09-23 21:37:08
USER_000245,2024-09-03,Consumer,45-54,France,Verified,49.71,11,1280.3,2024-10-15 21:44:07
USER_000246,2024-04-19,Business,25-34,USA,Verified,41.14,6,531.05,2024-09-10 13:44:54
USER_000247,2024-07-24,Consumer,45-54,India,Unverified,13.34,7,1645.16,2024-10-16 20:16:36
USER_000248,2024-01-31,Premium,35-44,Brazil,Verified,16.13,10,1725.06,2024-09-23 20:45:38
USER_000249,2024-03-25,Premium,35-44,USA,Verified,19.69,12,2435.23,2024-10-22 13:14:45
USER_000250,2024-07-13,Business,18-24,Germany,Verified,10.0,9,871.94,2024-09-29 20:07:15
USER_000251,2024-01-02,Consumer,45-54,Germany,Unverified,63.22,9,479.97,2024-10-03 22:22:38
USER_000252,2024-07-18,Consumer,35-44,UK,Unverified,73.99,8,700.13,2024-08-14 08:09:43
USER_000253,2024-05-15,Business,25-34,USA,Verified,88.2,9,576.0,2024-10-03 05:27:21
USER_000254,2024-08-20,Consumer,35-44,USA,Verified,7.65,7,450.36,2024-10-17 07:27:46
USER_000255,2024-05-26,Consumer,25-34,Germany,Verified,3.09,16,1680.52,2024-08-31 20:39:38
USER_000256,2024-08-04,Consumer,35-44,Canada,Verified,86.14,9,1214.47,2024-09-10 12:56:19
USER_000257,2024-10-11,Business,55+,USA,Verified,233.71,6,304.69,2024-09-09 11:51:04
USER_000258,2024-09-06,Consumer,18-24,Canada,Verified,1.79,13,4152.11,2024-09-23 20:01:47
USER_000259,2024-03-20,Consumer,55+,India,Verified,191.56,12,1185.81,2024-09-02 13:41:27
USER_000260,2024-04-07,Consumer,18-24,Brazil,Verified,51.32,5,471.0,2024-10-18 20:47:36
USER_000261,2024-05-31,Consumer,25-34,France,Verified,1045.19,13,943.69,2024-10-25 08:24:24
USER_000262,2024-04-21,Premium,25-34,Germany,Unverified,93.86,8,598.04,2024-10-18 21:42:44
USER_000263,2024-01-30,Consumer,25-34,Australia,Verified,2.31,16,1628.64,2024-10-24 11:11:53
USER_000264,2024-10-23,Consumer,35-44,USA,Unverified,357.02,17,2353.45,2024-10-11 08:18:26
