State,City,Total_Orders,Total_Revenue,Unique_Customers
AL,teotonio vilela,7,2331.9,7
AL,traipu,1,63.79,1
AL,uniao dos palmares,1,309.25,1
AL,vicosa,1,56.05,1
AM,coari,1,1259.04,1
AM,humaita,4,458.4,4
AM,itacoatiara,1,92.98,1
AM,manaus,137,25542.82,137
AM,urucurituba,2,242.94,2
AP,laranjal do jari,2,426.17999999999995,2
AP,macapa,53,13545.039999999999,53
AP,oiapoque,1,425.24,1
AP,porto grande,1,64.14,1
AP,santana,9,1543.94,9
AP,vitoria do jari,1,137.27,1
BA,abaira,2,203.0,2
BA,abare,2,224.73,2
BA,abrantes,1,200.35,1
BA,acajutiba,1,50.95,1
BA,adustina,1,102.27,1
BA,alagoinhas,40,7428.33,40
BA,alcobaca,4,1481.9,4
BA,amargosa,1,71.81,1
BA,amelia rodrigues,3,430.02000000000004,3
BA,america dourada,1,217.92,1
BA,anage,1,97.38,1
BA,andarai,1,109.5,1
BA,andorinha,5,797.61,5
BA,angical,1,293.5,1
BA,anguera,1,144.99,1
BA,antonio cardoso,2,439.92,2
BA,antonio goncalves,1,51.69,1
BA,apora,1,65.7,1
BA,apuarema,1,204.38,1
BA,aracatu,1,95.76,1
BA,araci,3,358.24,3
BA,aramari,2,222.56,2
BA,arataca,1,865.78,1
BA,arembepe,2,494.05999999999995,2
BA,aribice,1,76.15,1
BA,arraial d ajuda,1,90.7,1
BA,arraial d'ajuda,7,739.08,7
BA,baianopolis,2,493.28,2
BA,baixa grande,1,66.24,1
BA,banzae,1,127.42,1
BA,barra,2,194.84,2
BA,barra da estiva,7,1072.68,7
BA,barra do choca,3,877.49,3
BA,barra do mendes,3,383.28,3
BA,barra do tarrachil,3,359.94,3
BA,barreiras,51,12694.48,51
BA,barro alto,2,132.18,2
BA,barro preto,1,146.58,1
BA,barrocas,1,118.26,1
BA,belmonte,1,60.05,1
BA,belo campo,3,257.64,3
BA,biritinga,1,147.57,1
BA,bom jesus da lapa,9,3153.69,9
BA,bom jesus da serra,2,322.28999999999996,2
BA,boninal,2,909.8,2
BA,bonito,2,435.25,2
BA,boquira,1,95.67,1
BA,botupora,1,346.51,1
BA,brejoes,1,143.34,1
BA,brejolandia,1,34.78,1
BA,brotas de macaubas,1,185.62,1
BA,brumado,21,3330.52,21
BA,buerarema,3,1116.81,3
BA,buritirama,2,286.11,2
BA,cabaceiras do paraguacu,1,48.69,1
BA,cachoeira,4,573.71,4
BA,cacule,3,615.05,3
BA,caem,1,80.02,1
BA,caetite,10,2300.45,10
BA,cairu,1,78.64,1
BA,caldas do jorro,1,394.52,1
BA,caldeirao grande,2,268.87,2
BA,camacan,6,1269.4,6
BA,camacari,60,8722.58,60
BA,camamu,8,1782.6,8
BA,campo alegre de lourdes,1,124.89,1
BA,campo formoso,10,4054.34,10
BA,canapolis,1,30.44,1
BA,canarana,1,130.59,1
BA,canavieiras,6,1017.29,6
BA,candeal,1,176.65,1
BA,candeias,12,1426.3600000000001,12
BA,candido sales,3,472.52,3
BA,cansancao,7,998.3699999999999,7
BA,canudos,1,232.89,1
BA,capela do alto alegre,1,56.78,1
BA,capim grosso,5,660.78,5
BA,caraibas,1,249.8,1
BA,caravelas,3,466.78,3
BA,carinhanha,2,451.5,2
BA,carnaiba do sertao,1,99.1,1
BA,casa nova,6,1269.54,6
BA,castro alves,2,101.76,2
BA,catu,10,1763.24,10
BA,catu de abrantes,2,1295.8600000000001,2
BA,caturama,1,40.79,1
BA,central,1,142.89,1
BA,chorrocho,1,73.18,1
BA,cicero dantas,9,4097.2,9
BA,cipo,1,230.12,1
BA,coaraci,4,1468.1200000000001,4
BA,cocos,1,73.27,1
BA,conceicao da feira,2,802.95,2
BA,conceicao do almeida,1,120.14,1
BA,conceicao do coite,9,1307.04,9
BA,conceicao do jacuipe,3,247.07999999999998,3
BA,conde,2,881.52,2
BA,condeuba,1,73.83,1
BA,coracao de maria,1,306.06,1
BA,cordeiros,1,363.64,1
BA,coribe,8,816.78,8
BA,coronel joao sa,3,689.71,3
BA,correntina,2,188.11,2
BA,cotegipe,1,103.15,1
BA,cravolandia,1,187.83,1
BA,crisopolis,3,242.61,3
BA,cristopolis,2,113.94999999999999,2
BA,cruz das almas,18,2486.57,18
BA,curaca,3,542.24,3
BA,dario meira,2,225.26,2
BA,dias d avila,1,61.79,1
BA,dias d'avila,23,3044.98,23
BA,dom basilio,3,172.70999999999998,3
BA,dom macedo costa,1,82.83,1
BA,elisio medrado,2,118.75,2
BA,entre rios,6,1241.52,6
BA,erico cardoso,1,24.88,1
BA,esplanada,5,1808.34,5
BA,euclides da cunha,5,625.62,5
BA,eunapolis,36,7715.63,36
BA,fatima,2,522.28,2
BA,feira de santana,181,31427.0,181
BA,filadelfia,1,99.16,1
BA,formosa do rio preto,3,1628.16,3
BA,gandu,4,507.45,4
BA,gentio do ouro,1,121.1,1
BA,gongogi,1,52.13,1
BA,governador mangabeira,1,116.26,1
BA,guanambi,36,5367.47,36
BA,guaratinga,2,76.57,2
BA,heliopolis,1,169.28,1
BA,humildes,1,360.81,1
BA,iacu,4,499.85,4
BA,ibiajara,1,65.8,1
BA,ibiassuce,2,218.42,2
BA,ibicarai,5,559.6,5
BA,ibicoara,3,359.84000000000003,3
BA,ibipeba,1,86.39,1
BA,ibipitanga,2,396.71999999999997,2
BA,ibiraja,2,330.14,2
BA,ibirapua,1,141.42,1
BA,ibirataia,2,91.72,2
BA,ibitiara,1,157.28,1
BA,ibitira,1,421.03,1
BA,ibitita,1,1534.58,1
BA,ibotirama,7,3233.2,7
BA,ichu,2,197.92,2
BA,igapora,1,56.78,1
BA,igrapiuna,1,52.05,1
BA,iguai,2,587.1400000000001,2
BA,ilheus,69,10500.1,69
BA,inhambupe,7,1346.98,7
BA,ipecaeta,1,40.19,1
BA,ipiau,7,883.79,7
BA,ipira,6,3423.98,6
BA,ipupiara,1,525.85,1
BA,iramaia,2,199.37,2
BA,iraquara,5,510.63,5
BA,irara,2,222.82,2
BA,irece,13,2660.91,13
BA,itabatan,2,196.39999999999998,2
BA,itabela,4,529.97,4
BA,itaberaba,9,1169.15,9
BA,itabuna,60,9474.99,60
BA,itacare,7,970.1999999999999,7
BA,itagi,2,164.64,2
BA,itagiba,2,144.86,2
BA,itagimirim,1,193.06,1
BA,itaguacu da bahia,1,267.89,1
BA,itaju do colonia,1,56.69,1
BA,itajuipe,3,852.2800000000001,3
BA,itamaraju,11,1681.2,11
BA,itamari,3,324.99,3
BA,itambe,3,478.76,3
BA,itamira,2,100.2,2
BA,itanhem,1,278.66,1
BA,itaparica,1,188.36,1
BA,itape,1,258.56,1
BA,itapetinga,18,3169.5,18
BA,itapicuru,2,181.54,2
BA,itapitanga,3,264.09,3
BA,itarantim,3,574.72,3
BA,itatim,3,400.46,3
BA,itirucu,3,845.37,3
BA,itiuba,4,387.5,4
BA,itororo,2,709.37,2
BA,ituacu,3,478.07000000000005,3
BA,itubera,3,181.22,3
BA,jacaraci,4,1040.27,4
BA,jacobina,23,7693.92,23
BA,jacuipe,1,34.78,1
BA,jaguaquara,2,237.14000000000001,2
BA,jandaira,1,77.98,1
BA,jaua,1,177.38,1
BA,jequie,34,5766.87,34
BA,jeremoabo,6,1126.37,6
BA,jiquirica,1,519.93,1
BA,joao dourado,1,36.69,1
BA,juazeiro,42,8662.05,42
BA,jucurucu,2,478.31,2
BA,jussari,2,213.19,2
BA,jussiape,1,53.79,1
BA,lagoa real,1,459.92,1
BA,lamarao,1,81.34,1
BA,lauro de freitas,72,10893.5,72
BA,lencois,1,307.68,1
BA,livramento de nossa senhora,5,777.5699999999999,5
BA,luis eduardo magalhaes,36,9538.69,36
BA,macaubas,8,1221.3899999999999,8
BA,madre de deus,7,826.74,7
BA,maiquinique,1,139.48,1
BA,mairi,2,974.31,2
BA,mansidao,1,65.78999999999999,1
BA,maracas,5,877.0899999999999,5
BA,maragogipe,2,195.04000000000002,2
BA,mascote,2,158.99,2
BA,mata de sao joao,11,1344.1799999999998,11
BA,medeiros neto,7,797.29,7
BA,miguel calmon,5,787.81,5
BA,milagres,2,563.4399999999999,2
BA,monte gordo,1,224.17,1
BA,monte santo,1,40.0,1
BA,morpara,2,393.72999999999996,2
BA,morro de sao paulo,1,832.0,1
BA,morro do chapeu,7,737.8399999999999,7
BA,mucuge,1,285.74,1
BA,mucuri,7,2385.9900000000002,7
BA,mundo novo,1,157.28,1
BA,muquem do sao francisco,2,104.21,2
BA,muritiba,1,222.63,1
BA,mutuipe,4,580.0899999999999,4
BA,nazare,3,504.82000000000005,3
BA,nova canaa,2,210.07999999999998,2
BA,nova fatima,1,188.29,1
BA,nova redencao,1,36.69,1
BA,nova soure,3,325.43,3
BA,nova vicosa,1,271.01,1
BA,nucleo residencial pilar,8,2417.94,8
BA,olindina,2,229.59,2
BA,oliveira dos brejinhos,2,185.84,2
BA,palmeiras,2,292.3,2
BA,paramirim,5,555.47,5
BA,paripiranga,2,156.65,2
BA,pau brasil,1,315.92,1
BA,paulo afonso,39,7842.14,39
BA,pedrao,1,343.71,1
BA,piata,2,131.35,2
BA,pilao arcado,4,364.68,4
BA,pindai,2,171.54,2
BA,pindobacu,3,243.72,3
BA,pintadas,2,520.5,2
BA,pirai do norte,1,46.28,1
BA,piripa,2,110.84,2
BA,piritiba,5,512.1899999999999,5
BA,planaltino,1,254.44,1
BA,planalto,1,116.45,1
BA,pocoes,2,399.2,2
BA,pojuca,13,1820.78,13
BA,ponto novo,1,377.0,1
BA,porto seguro,39,11671.6,39
BA,posto da mata,4,620.13,4
BA,potiragua,7,644.7,7
BA,prado,5,1234.5900000000001,5
BA,presidente dutra,3,246.62,3
BA,presidente janio quadros,1,173.88,1
BA,presidente tancredo neves,4,325.58,4
BA,queimadas,4,937.5699999999999,4
BA,quijingue,2,268.06,2
BA,quixabeira,3,309.42,3
BA,remanso,5,487.98999999999995,5
BA,retirolandia,1,117.0,1
BA,riachao das neves,2,247.76999999999998,2
BA,riachao do jacuipe,5,2613.59,5
BA,riacho de santana,4,1302.47,4
BA,ribeira do amparo,1,61.79,1
BA,ribeira do pombal,8,782.36,8
BA,rio de contas,3,290.72,3
BA,rio do antonio,2,301.75,2
BA,rio do pires,4,731.25,4
BA,rio real,3,480.6,3
BA,rodelas,3,464.75,3
BA,ruy barbosa,7,921.15,7
BA,salinas da margarida,1,82.12,1
BA,salobro,1,89.15,1
BA,salvador,1188,207790.89,1188
BA,santa brigida,1,104.73,1
BA,santa cruz cabralia,5,605.1800000000001,5
BA,santa ines,3,351.77,3
BA,santa maria da vitoria,13,2185.07,13
BA,santa teresinha,2,338.1,2
BA,santaluz,3,333.97,3
BA,santana,3,258.77,3
BA,santana do sobrado,1,54.82,1
BA,santo amaro,10,2066.74,10
BA,santo antonio de jesus,29,5060.15,29
BA,santo estevao,5,1226.69,5
BA,sao desiderio,1,161.19,1
BA,sao domingos,3,239.44,3
BA,sao felipe,2,827.01,2
BA,sao felix,1,44.69,1
BA,sao felix do coribe,1,266.06,1
BA,sao francisco do conde,3,367.33000000000004,3
BA,sao jose da vitoria,2,225.76000000000002,2
BA,sao miguel das matas,1,221.0,1
BA,sao sebastiao do passe,5,550.53,5
BA,sapeacu,2,303.47,2
BA,satiro dias,1,41.29,1
BA,saubara,1,228.6,1
BA,saude,2,169.98000000000002,2
BA,seabra,6,1148.26,6
BA,senhor do bonfim,18,3047.41,18
BA,sento se,1,76.08,1
BA,serra do ramalho,4,406.72,4
BA,serra dourada,2,234.2,2
BA,serrinha,14,2314.11,14
BA,serrolandia,2,363.65999999999997,2
BA,simoes filho,21,5223.07,21
BA,sitio do quinto,2,131.65,2
BA,sobradinho,5,783.74,5
BA,tabocas do brejo velho,3,199.96,3
BA,taboquinhas,1,303.27,1
BA,tanhacu,4,609.8,4
BA,tanque novo,3,447.39,3
BA,tapiramuta,2,1476.8999999999999,2
BA,teixeira de freitas,28,4143.1,28
BA,teodoro sampaio,1,87.28,1
BA,teofilandia,3,236.92000000000002,3
BA,teolandia,4,260.77,4
BA,trancoso,6,995.19,6
BA,tucano,8,969.5799999999999,8
BA,uaua,3,473.04,3
BA,ubaira,6,884.91,6
BA,ubaitaba,4,667.9300000000001,4
BA,ubata,1,210.18,1
BA,uibai,4,639.36,4
BA,umburanas,1,123.75,1
BA,una,4,541.51,4
BA,urandi,2,767.8100000000001,2
BA,urucuca,2,257.27,2
BA,utinga,3,396.97,3
BA,valenca,35,7406.42,35
BA,valente,9,3614.1000000000004,9
BA,varzea do poco,1,73.83,1
BA,varzea nova,1,108.53,1
BA,varzedo,1,65.53,1
BA,vera cruz,7,1394.82,7
BA,vereda,2,356.65,2
BA,vitoria da conquista,88,19252.21,88
BA,wagner,1,147.69,1
BA,wanderley,2,333.11,2
BA,wenceslau guimaraes,1,137.5,1
BA,xique-xique,3,230.56,3
CE,abaiara,2,332.15,2
CE,acarau,8,1639.94,8
CE,acopiara,7,901.67,7
CE,aiuaba,1,147.38,1
CE,altaneira,2,496.26,2
CE,alto santo,3,801.01,3
CE,amanari,1,419.39,1
CE,amontada,1,81.57,1
CE,antonina do norte,1,130.58,1
CE,apuiares,2,421.56,2
CE,aquiraz,1,398.85,1
CE,aracati,21,3413.0,21
CE,aracoiaba,3,592.44,3
CE,araripe,1,155.0,1
CE,aratuba,2,429.74,2
CE,arneiroz,2,462.53,2
CE,assare,1,118.26,1
CE,aurora,3,444.7,3
CE,banabuiu,1,139.61,1
CE,barbalha,6,1515.4099999999999,6
CE,barreira,1,142.01,1
CE,barro,4,769.02,4
CE,baturite,3,551.09,3
CE,beberibe,3,1823.9099999999999,3
CE,bela cruz,4,1024.47,4
CE,boa viagem,3,546.76,3
CE,brejo santo,10,1949.35,10
CE,camocim,8,2078.27,8
CE,campos sales,4,1853.7799999999997,4
CE,caninde,6,814.2,6
CE,capistrano,1,72.16,1
CE,caridade,1,99.9,1
CE,carire,3,236.28,3
CE,caririacu,2,519.14,2
CE,carius,3,618.69,3
CE,carnaubal,2,265.88,2
CE,cascavel,5,1254.75,5
CE,catarina,3,295.29,3
CE,caucaia,35,7092.72,35
CE,cedro,1,356.11,1
CE,chaval,1,179.45,1
CE,chorozinho,1,398.42,1
CE,coreau,1,54.81,1
CE,crateus,9,2779.4,9
CE,crato,18,3847.13,18
CE,croata,1,87.8,1
CE,cruz,7,1772.56,7
CE,deputado irapuan pinheiro,2,239.0,2
CE,dourado,1,218.58,1
CE,erere,1,226.23,1
CE,eusebio,13,2707.57,13
CE,flores,1,149.9,1
CE,forquilha,4,477.45,4
CE,fortaleza,618,112951.56,618
CE,fortim,1,205.53,1
CE,frecheirinha,2,213.71,2
CE,granja,5,700.3,5
CE,groairas,1,178.5,1
CE,guaiuba,2,762.05,2
CE,guaraciaba do norte,4,738.15,4
CE,guassusse,1,169.92,1
CE,hidrolandia,7,1251.75,7
CE,horizonte,5,639.41,5
CE,ibiapina,3,289.34000000000003,3
CE,ibicuitinga,1,54.62,1
CE,icapui,5,638.4000000000001,5
CE,ico,8,2355.35,8
CE,iguatu,14,4202.5,14
CE,independencia,1,136.05,1
CE,ipaporanga,2,453.81,2
CE,ipaumirim,1,307.11,1
CE,ipu,4,545.2,4
CE,ipueiras,3,1805.78,3
CE,iracema,2,308.77,2
CE,iraucuba,2,244.13,2
CE,itaicaba,1,70.03,1
CE,itaitinga,3,638.5500000000001,3
CE,itapage,1,236.13,1
CE,itapaje,6,3425.08,6
CE,itapipoca,10,1482.91,10
CE,itapiuna,2,106.24,2
CE,itarema,1,99.95,1
CE,jaguaribara,1,125.23,1
CE,jaguaribe,5,861.8000000000001,5
CE,jaguaruana,4,1339.3,4
CE,jardim,2,473.44000000000005,2
CE,jijoca de jericoacoara,4,1262.22,4
CE,juazeiro do norte,31,8138.34,31
CE,jucas,1,363.96,1
CE,lages,1,78.1,1
CE,lagoa do mato,1,61.62,1
CE,lavras da mangabeira,2,986.46,2
CE,limoeiro do norte,11,1492.55,11
CE,madalena,1,176.24,1
CE,maracanau,31,5915.2300000000005,31
CE,maranguape,3,345.53,3
CE,marco,3,756.76,3
CE,massape,2,182.79000000000002,2
CE,mauriti,1,57.28,1
CE,meruoca,2,160.85,2
CE,milagres,2,452.89,2
CE,milha,2,288.29999999999995,2
CE,miraima,2,291.3,2
CE,missao velha,1,40.62,1
CE,missi,1,152.95,1
CE,mombaca,1,247.98,1
CE,monsenhor tabosa,3,412.32000000000005,3
CE,morada nova,9,1571.6,9
CE,morrinhos,4,1124.79,4
CE,mucambo,1,149.14,1
CE,nova olinda,3,1792.93,3
CE,nova russas,7,1842.03,7
CE,novo oriente,3,321.4,3
CE,ocara,2,162.69,2
CE,oros,2,160.71,2
CE,pacajus,6,1520.0,6
CE,pacatuba,5,4469.860000000001,5
CE,pacoti,2,222.29000000000002,2
CE,pacuja,1,538.39,1
CE,palhano,1,136.6,1
CE,paracuru,4,705.92,4
CE,paraipaba,5,706.54,5
CE,parambu,4,269.22,4
CE,pedra branca,2,88.15,2
CE,penaforte,2,559.03,2
CE,pentecoste,2,299.21,2
CE,pereiro,3,379.74,3
CE,pindoretama,1,63.18,1
CE,pires ferreira,1,43.79,1
CE,porteiras,1,42.18,1
CE,potengi,2,331.95,2
CE,quixada,12,3176.57,12
CE,quixelo,2,200.25,2
CE,quixeramobim,6,1119.97,6
CE,quixere,2,837.1600000000001,2
CE,redencao,4,1297.66,4
CE,reriutaba,3,1331.6299999999999,3
CE,russas,9,4622.34,9
CE,saboeiro,1,201.83,1
CE,santa quiteria,5,1139.12,5
CE,santana do acarau,4,1563.58,4
CE,santana do cariri,3,946.6800000000001,3
CE,sao benedito,4,1058.76,4
CE,sao goncalo do amarante,5,521.31,5
CE,sao luis do curu,2,258.71,2
CE,senador pompeu,4,718.11,4
CE,sobral,33,12440.17,33
CE,solonopole,2,785.74,2
CE,sucesso,3,485.92,3
CE,tabuleiro do norte,1,71.88,1
CE,taperuaba,1,82.42,1
CE,taua,10,1251.37,10
CE,tiangua,9,2732.68,9
CE,trairi,2,543.53,2
CE,tururu,1,215.6,1
CE,ubajara,3,1414.6299999999999,3
CE,uruburetama,1,87.8,1
CE,uruoca,2,295.57,2
CE,varjota,4,901.1800000000001,4
CE,varzea alegre,2,198.65,2
CE,vicosa do ceara,1,43.79,1
DF,brasilia,2071,345221.87,2071
DF,ceilandia,1,68.84,1
DF,guara,2,130.99,2
DF,santa maria,1,34.09,1
DF,sobradinho,1,115.94,1
DF,taguatinga,4,574.44,4
ES,afonso claudio,11,1767.92,11
ES,agua doce do norte,4,463.52,4
ES,aguia branca,1,31.13,1
ES,alegre,17,3265.0099999999998,17
ES,alfredo chaves,7,1052.6100000000001,7
ES,alto rio novo,2,327.23,2
ES,anchieta,14,2387.85,14
ES,angelo frechiani,1,43.6,1
ES,apiaca,6,534.42,6
ES,arace,4,491.18,4
ES,aracruz,40,5102.98,40
ES,araguaia,1,67.23,1
ES,atilio vivacqua,1,107.78,1
ES,baixo guandu,8,1617.1699999999998,8
ES,barra de sao francisco,9,797.29,9
ES,boa esperanca,7,1312.95,7
ES,bom jesus do norte,4,781.8499999999999,4
ES,braco do rio,2,138.93,2
ES,brejetuba,1,144.54,1
ES,cachoeiro de itapemirim,121,19175.45,121
ES,cariacica,135,19353.08,135
ES,castelo,18,1990.94,18
ES,celina,2,208.23,2
ES,colatina,63,8456.83,63
ES,conceicao da barra,3,398.59,3
ES,conceicao do castelo,5,658.0,5
ES,divino de sao lourenco,1,149.16,1
ES,domingos martins,9,1353.6299999999999,9
ES,dores do rio preto,4,526.33,4
ES,ecoporanga,8,1145.83,8
ES,fundao,4,437.33,4
ES,governador lindenberg,2,136.28,2
ES,guacui,16,4311.75,16
ES,guarapari,66,11951.82,66
ES,ibatiba,9,1724.6,9
ES,ibiracu,1,57.5,1
ES,iconha,5,390.13,5
ES,irupi,2,287.63,2
ES,itaguacu,7,1972.99,7
ES,itaipava,4,520.02,4
ES,itaoca,2,497.2,2
ES,itapemirim,4,459.34,4
ES,itarana,3,1010.02,3
ES,iuna,2,176.26999999999998,2
ES,jacigua,2,175.11,2
ES,jaguare,13,1513.1,13
ES,jeronimo monteiro,2,321.11,2
ES,joao neiva,8,911.4,8
ES,laranja da terra,1,85.6,1
ES,linhares,64,13987.34,64
ES,mantenopolis,4,503.02000000000004,4
ES,marataizes,16,3274.31,16
ES,marechal floriano,5,681.38,5
ES,marilandia,8,1593.22,8
ES,mimoso do sul,9,853.56,9
ES,montanha,10,1862.77,10
ES,mucurici,1,415.66,1
ES,muniz freire,2,279.13,2
ES,muqui,4,574.38,4
ES,nova venecia,19,2956.59,19
ES,novo brasil,1,103.75,1
ES,pacotuba,1,69.14,1
ES,pancas,1,198.9,1
ES,paraju,1,105.74,1
ES,pedro canario,5,476.55,5
ES,piacu,1,194.48,1
ES,pinheiros,8,1182.51,8
ES,piuma,17,2590.17,17
ES,ponto belo,1,98.56,1
ES,praia grande,1,75.08,1
ES,presidente kennedy,2,282.31,2
ES,quilometro 14 do mutum,1,66.01,1
ES,rio bananal,4,332.32,4
ES,rio novo do sul,6,653.44,6
ES,santa leopoldina,1,107.78,1
ES,santa maria de jetiba,15,2231.06,15
ES,santa teresa,10,1313.65,10
ES,santo antonio do canaa,1,194.88,1
ES,sao domingos do norte,7,1028.5,7
ES,sao gabriel da palha,13,1732.64,13
ES,sao joao de petropolis,1,43.09,1
ES,sao joao do sobrado,1,73.56,1
ES,sao jose do calcado,6,1127.26,6
ES,sao mateus,47,7691.8,47
ES,sao roque do canaa,5,436.01,5
ES,serra,278,41555.07,278
ES,sooretama,5,456.35,5
ES,vargem alta,5,372.35,5
ES,vargem grande do soturno,1,111.02,1
ES,venda nova do imigrante,15,3171.23,15
ES,viana,21,3937.27,21
ES,vila nelita,2,167.98000000000002,2
ES,vila valerio,8,1632.29,8
ES,vila velha,326,54654.53,326
ES,vitoria,373,61443.55,373
GO,abadiania,1,1025.52,1
GO,acreuna,7,1306.45,7
GO,agua fria de goias,1,167.81,1
GO,agua limpa,1,416.8,1
GO,aguas lindas de goias,24,2788.8,24
GO,alexania,5,568.25,5
GO,alto horizonte,2,285.15,2
GO,alto paraiso de goias,9,1963.35,9
GO,alvorada do norte,3,221.72,3
GO,americano do brasil,3,346.28999999999996,3
GO,anapolis,111,20029.82,111
GO,anicuns,8,809.19,8
GO,aparecida de goiania,105,16558.56,105
GO,apore,1,197.38,1
GO,aragarcas,3,247.60000000000002,3
GO,aragoiania,1,112.9,1
GO,araguapaz,2,160.89,2
GO,arenopolis,1,128.9,1
GO,aruana,2,180.31,2
GO,aurilandia,1,176.2,1
GO,barro alto,1,123.33,1
GO,bela vista de goias,7,753.35,7
GO,bom jardim de goias,1,25.1,1
GO,bom jesus,8,1112.53,8
GO,bonfinopolis,2,512.6,2
GO,brazabrantes,2,82.7,2
GO,britania,1,105.37,1
GO,buriti alegre,1,48.22,1
GO,cabeceiras,1,33.13,1
GO,cachoeira alta,6,605.48,6
GO,cachoeira dourada,2,185.02,2
GO,cacu,8,1163.53,8
GO,caiaponia,4,428.97,4
GO,caldas novas,36,6204.57,36
GO,campinacu,1,195.91,1
GO,campinorte,7,1400.61,7
GO,campo alegre de goias,2,240.27,2
GO,campos belos,7,927.53,7
GO,campos verdes,1,413.04,1
GO,carmo do rio verde,2,206.32,2
GO,castelandia,5,688.41,5
GO,catalao,33,6317.65,33
GO,cavalcante,2,228.07,2
GO,ceres,7,2116.38,7
GO,cezarina,1,31.72,1
GO,chapadao do ceu,8,1343.25,8
GO,cidade ocidental,8,876.5699999999999,8
GO,cocalzinho de goias,1,203.08,1
GO,corumba de goias,2,163.28,2
GO,corumbaiba,4,256.47,4
GO,cristalina,8,2275.49,8
GO,crixas,8,1129.44,8
GO,crominia,1,61.0,1
GO,cumari,2,229.51,2
GO,damianopolis,2,63.84,2
GO,diorama,2,266.92,2
GO,divinopolis de goias,1,94.3,1
GO,domiciano ribeiro,2,149.38,2
GO,doverlandia,2,311.87,2
GO,edeia,4,560.9100000000001,4
GO,fazenda nova,4,407.77,4
GO,firminopolis,7,832.5,7
GO,flores de goias,1,43.22,1
GO,formosa,34,6124.12,34
GO,formoso,1,61.93,1
GO,goianapolis,4,1224.04,4
GO,goiandira,1,113.13,1
GO,goianesia,17,2516.58,17
GO,goiania,660,113351.2,660
GO,goianira,8,1057.77,8
GO,goias,8,1236.73,8
GO,goiatuba,10,2648.12,10
GO,guapo,6,868.7,6
GO,hidrolandia,1,74.5,1
GO,hidrolina,2,218.96,2
GO,iaciara,3,787.1200000000001,3
GO,inaciolandia,3,952.92,3
GO,indiara,4,449.47,4
GO,inhumas,16,2733.51,16
GO,ipameri,12,2399.96,12
GO,ipiranga de goias,1,139.98,1
GO,ipora,15,2362.54,15
GO,itaberai,6,1151.08,6
GO,itaguacu,2,114.10000000000001,2
GO,itaguari,1,913.7,1
GO,itaguaru,2,117.66,2
GO,itaja,3,1001.9,3
GO,itapaci,3,302.13,3
GO,itapirapua,2,495.34000000000003,2
GO,itapuranga,6,959.3100000000001,6
GO,itumbiara,35,6489.07,35
GO,jandaia,1,53.4,1
GO,jaragua,7,755.0699999999999,7
GO,jardim abc de goias,1,34.09,1
GO,jatai,54,11337.93,54
